zip,ruca,population,median_household_income,within_10_miles_count
1908,Urban,"3,354","$99,456",4.0
1913,Urban,"17,286","$87,433",2.0
1915,Urban,"41,545","$89,076",2.0
1921,Urban,"8,265","$186,899",3.0
1922,Urban,"3,929","$193,667",0.0
1923,Urban,"27,789","$105,654",5.0
1929,Urban,"3,650","$115,670",0.0
1930,Urban,"29,814","$82,984",0.0
1937,Urban,177,,4.0
1938,Urban,"13,740","$111,701",0.0
1940,Urban,"13,023","$144,116",5.0
1944,Urban,"5,382","$193,279",0.0
1945,Urban,"20,397","$154,049",3.0
1949,Urban,"9,726","$155,482",4.0
1950,Urban,"18,282","$115,807",1.0
1951,Urban,"2,816","$122,344",1.0
1952,Urban,"9,152","$92,048",1.0
1960,Urban,"54,051","$83,539",5.0
1965,Urban,903,"$223,570",2.0
1966,Urban,"7,014","$88,377",0.0
1969,Urban,"6,135","$124,196",0.0
1970,Urban,"44,372","$72,994",4.0
1982,Urban,"7,641","$116,955",1.0
1983,Urban,"6,530","$155,208",1.0
1984,Urban,"5,006","$154,375",2.0
1985,Urban,"4,500","$164,250",2.0
2019,Urban,"16,934","$109,042",2.0
2021,Urban,"24,122","$118,814",5.0
2025,Urban,"8,295","$156,689",2.0
2026,Urban,"25,308","$108,047",1.0
2030,Urban,"5,894","$250,001",2.0
2032,Urban,"4,878","$161,292",2.0
2035,Urban,"18,431","$95,410",1.0
2038,Urban,"33,057","$127,608",1.0
2043,Urban,"24,061","$154,300",3.0
2045,Urban,"10,120","$117,120",2.0
2047,Urban,187,"$93,309",0.0
2048,Urban,"23,768","$122,274",3.0
2050,Urban,"25,841","$109,524",0.0
2052,Urban,"12,775","$196,820",2.0
2053,Urban,"13,610","$147,276",1.0
2054,Urban,"8,481","$131,138",2.0
2056,Urban,"11,531","$168,281",2.0
2061,Urban,"11,258","$172,022",2.0
2062,Urban,"31,256","$96,414",2.0
2066,Urban,"18,781","$132,639",1.0
2067,Urban,"18,477","$157,928",3.0
2071,Urban,"1,248","$183,894",1.0
2072,Urban,"29,028","$94,823",4.0
2081,Urban,"20,287","$129,972",1.0
2090,Urban,"16,066","$171,071",1.0
2093,Urban,"12,077","$147,201",3.0
2108,Urban,"4,225","$151,793",3.0
2109,Urban,"3,627","$156,351",3.0
2110,Urban,"2,307","$123,942",3.0
2111,Urban,"7,841","$65,587",3.0
2113,Urban,"6,726","$100,613",2.0
2114,Urban,"13,401","$118,125",2.0
2115,Urban,"28,559","$47,486",1.0
2116,Urban,"22,587","$121,967",3.0
2118,Urban,"27,718","$71,096",1.0
2119,Urban,"28,307","$34,987",1.0
2120,Urban,"15,082","$50,728",1.0
2121,Urban,"29,888","$40,732",1.0
2122,Urban,"23,747","$77,081",2.0
2124,Urban,"56,070","$65,683",2.0
2125,Urban,"32,614","$60,612",1.0
2126,Urban,"25,572","$61,180",2.0
2127,Urban,"35,266","$131,782",2.0
2128,Urban,"45,501","$71,630",3.0
2129,Urban,"20,411","$140,534",2.0
2130,Urban,"41,112","$106,153",1.0
2131,Urban,"32,609","$93,601",1.0
2132,Urban,"26,437","$114,596",1.0
2133,Urban,0,,3.0
2134,Urban,"18,437","$70,021",0.0
2135,Urban,"45,024","$85,792",0.0
