ruca,great_circle_distance,origin,destination
Rural,61.860159252581234,"43.381795,-92.475226","42.486852,-92.440126"
Rural,55.930993291084455,"36.96978,-92.30294","37.241562,-93.259043"
Rural,81.29032481742072,"31.994807,-87.545406","33.170195,-87.48396"
Rural,79.86732238696077,"41.92338,-85.52832","42.729335,-84.407491"
Rural,81.75921589721672,"44.590094,-97.466776","43.516781,-96.773492"
Rural,88.40988582350033,"36.68809,-98.66592","36.738707,-97.070952"
Rural,80.56142674678053,"44.65758,-67.20387","45.355887,-68.524582"
Rural,87.83005023257024,"44.0579,-123.79927","45.147799,-122.88034"
Rural,24.58422936043407,"37.789051,-100.46093","37.986189,-100.836248"
Rural,58.08393997376374,"37.995371,-83.193358","38.784149,-83.564313"
Rural,36.80540769403887,"38.017322,-121.039852","38.482694,-121.369921"
Rural,78.88686325040715,"41.310884,-92.159246","40.215006,-92.582222"
Rural,23.54917200780733,"44.642603,-72.735911","44.441644,-73.122148"
Rural,52.92152703983012,"46.317185,-123.999449","46.119273,-122.930041"
Rural,78.39532363499823,"42.752653,-91.69556","43.313308,-90.346027"
Rural,55.81369712686827,"43.966853,-117.709928","43.632349,-116.69118"
Rural,16.589148133154506,"47.885347,-96.270368","48.111545,-96.150057"
Rural,57.843085065170385,"40.397541,-95.663987","41.143541,-96.165659"
Rural,35.951295878993534,"42.42647,-75.38323","42.115454,-75.946966"
Rural,27.10871326461246,"29.244623,-81.471982","29.173104,-81.030008"
Rural,56.34409234039486,"41.589212,-94.870749","41.227501,-95.845231"
Rural,74.20595885826378,"38.05762,-80.70676","38.89254,-79.843825"
Rural,83.9409302035316,"32.873125,-91.430209","33.506832,-90.191605"
Rural,87.46545870080058,"38.96052,-112.33633","40.09649,-111.612016"
Rural,73.08780460909901,"40.241584,-91.240017","39.752274,-92.464244"
Rural,69.78716991849613,"61.9323,-151.20979","61.310372,-149.535209"
Rural,79.11676507378213,"36.149508,-99.301912","35.0158,-99.104057"
Rural,78.41142336027518,"47.145874,-101.159363","46.907959,-102.787263"
Rural,16.919944091016188,"38.578516,-112.310757","38.748326,-112.084784"
Rural,60.17642472523745,"37.377377,-82.686866","36.644153,-82.098235"
Rural,79.52689026004761,"44.794881,-83.34884","45.626859,-84.477886"
Rural,79.43688344445921,"47.940789,-94.45001","48.111545,-96.150057"
Rural,72.73140674049954,"48.899627,-104.793406","48.181972,-103.630221"
Rural,49.91570511461373,"41.471865,-98.068163","42.02376,-97.44331"
Rural,46.63465175874957,"44.863406,-69.266827","44.630522,-70.158809"
Rural,79.50767481783333,"42.268076,-95.121242","42.016157,-93.606937"
Rural,61.105611006448925,"44.8656,-72.26483","44.692522,-73.486674"
Rural,72.41635075255071,"33.32281,-116.87864","34.089942,-117.73712"
Rural,57.19474381494922,"36.57876,-77.99083","35.752463,-77.929303"
Rural,39.085499985453794,"47.4427,-114.1716","46.883912,-114.04202"
Rural,86.27480010036996,"41.711914,-85.367474","42.942159,-85.078392"
Rural,63.66255543541968,"43.737488,-85.166327","43.623888,-83.901977"
Rural,79.25875851480937,"36.27587,-99.88123","37.067048,-100.91685"
Rural,58.63213617336309,"45.33385,-96.76312","44.950727,-95.689617"
Rural,49.4000425677907,"43.87888,-99.60316","44.380799,-100.312571"
