zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
66849,Suburban,Dwight,Kansas,468,Morris,"$67,500",38.826679,-96.579805
66850,Suburban,Elmdale,Kansas,257,Chase,"$54,750",38.372982,-96.646064
66851,Suburban,Florence,Kansas,563,Marion,"$33,000",38.24446,-96.92808
66852,Rural,Gridley,Kansas,541,Coffey,"$58,750",38.105539,-95.794536
66853,Suburban,Hamilton,Kansas,375,Greenwood,"$41,563",37.980393,-96.199508
66854,Suburban,Hartford,Kansas,631,Lyon,"$66,250",38.30835,-95.95582
66856,Rural,Lebo,Kansas,"1,814",Coffey,"$70,729",38.41668,-95.85304
66857,Rural,Le Roy,Kansas,911,Coffey,"$54,183",38.11486,-95.685599
66858,Rural,Lincolnville,Kansas,347,Marion,"$49,375",38.493293,-96.96264
66859,Rural,Lost Springs,Kansas,238,Marion,"$63,750",38.566392,-96.967811
66860,Suburban,Madison,Kansas,"1,263",Greenwood,"$52,563",38.061943,-96.144795
66861,Rural,Marion,Kansas,"2,778",Marion,"$53,681",38.284561,-96.965255
66862,Suburban,Matfield Green,Kansas,82,Chase,,38.15918,-96.56057
66863,Suburban,Neal,Kansas,48,Greenwood,"$105,833",37.8342,-96.08027
66864,Suburban,Neosho Rapids,Kansas,437,Lyon,"$54,107",38.36946,-95.99194
66865,Suburban,Olpe,Kansas,"1,142",Lyon,"$76,250",38.26252,-96.16694
66866,Suburban,Peabody,Kansas,"1,836",Marion,"$50,687",38.134801,-97.003776
66868,Suburban,Reading,Kansas,779,Lyon,"$76,150",38.533232,-96.01436
66869,Suburban,Strong City,Kansas,669,Chase,"$48,485",38.390683,-96.538737
66870,Suburban,Virgil,Kansas,154,Greenwood,"$41,875",37.978282,-96.012585
66871,Rural,Waverly,Kansas,"1,267",Coffey,"$67,813",38.346908,-95.628088
66872,Suburban,White City,Kansas,954,Morris,"$36,528",38.783116,-96.779581
66873,Suburban,Wilsey,Kansas,215,Morris,"$52,969",38.682093,-96.663865
66901,Suburban,Concordia,Kansas,"6,220",Cloud,"$56,033",39.551634,-97.656764
66930,Rural,Agenda,Kansas,137,Republic,"$46,875",39.70438,-97.446521
66932,Rural,Athol,Kansas,58,Smith,"$48,750",39.766784,-98.919297
66933,Rural,Barnes,Kansas,319,Washington,"$43,448",39.681367,-96.862609
66935,Rural,Belleville,Kansas,"2,451",Republic,"$49,313",39.836218,-97.601461
66936,Rural,Burr Oak,Kansas,327,Jewell,"$34,333",39.86612,-98.30505
66937,Rural,Clifton,Kansas,"1,002",Washington,"$53,056",39.56722,-97.27864
66938,Rural,Clyde,Kansas,"1,289",Cloud,"$46,477",39.59127,-97.398639
66939,Rural,Courtland,Kansas,432,Republic,"$52,361",39.7814,-97.89282
66940,Rural,Cuba,Kansas,306,Republic,"$35,227",39.801787,-97.458269
66941,Rural,Esbon,Kansas,83,Jewell,"$31,563",39.820964,-98.433369
66942,Rural,Formoso,Kansas,272,Jewell,"$27,083",39.778286,-97.993161
66943,Rural,Greenleaf,Kansas,494,Washington,"$45,625",39.687997,-96.975097
66944,Rural,Haddam,Kansas,383,Washington,"$84,375",39.83551,-97.269445
66945,Rural,Hanover,Kansas,913,Washington,"$51,944",39.867079,-96.896534
66946,Rural,Hollenberg,Kansas,146,Washington,,39.98056,-96.99225
66948,Rural,Jamestown,Kansas,426,Cloud,"$56,932",39.598963,-97.86117
66949,Rural,Jewell,Kansas,551,Jewell,"$48,542",39.671874,-98.147215
66951,Rural,Kensington,Kansas,847,Smith,"$47,137",39.76696,-99.03175
66952,Rural,Lebanon,Kansas,396,Smith,"$45,150",39.807699,-98.556016
66953,Rural,Linn,Kansas,646,Washington,"$56,542",39.68,-97.08419
66955,Rural,Mahaska,Kansas,70,Washington,"$42,321",39.9875,-97.35421
66956,Rural,Mankato,Kansas,"1,169",Jewell,"$58,958",39.787529,-98.20595
66958,Rural,Morrowville,Kansas,235,Washington,"$68,333",39.885808,-97.172061
66959,Rural,Munden,Kansas,200,Republic,"$39,833",39.91389,-97.5381
66960,Rural,Narka,Kansas,111,Republic,"$44,750",39.960731,-97.428585
66961,Rural,Norway,Kansas,15,Republic,,39.827894,-97.650902
66962,Rural,Palmer,Kansas,247,Washington,"$63,676",39.610229,-97.12993
66963,Rural,Randall,Kansas,263,Jewell,"$29,000",39.643012,-98.044991
66964,Rural,Republic,Kansas,159,Republic,"$63,199",39.92362,-97.82171
66966,Rural,Scandia,Kansas,666,Republic,"$48,750",39.794591,-97.783734
66967,Rural,Smith Center,Kansas,"1,957",Smith,"$48,790",39.77918,-98.78507
66968,Rural,Washington,Kansas,"1,339",Washington,"$48,162",39.781107,-97.054286
66970,Rural,Webber,Kansas,55,Jewell,,39.935373,-98.035371
67001,Suburban,Andale,Kansas,"2,235",Sedgwick,"$63,333",37.779733,-97.636619
67002,Urban,Andover,Kansas,"16,585",Butler,"$102,922",37.701532,-97.098431
67003,Rural,Anthony,Kansas,"2,455",Harper,"$47,292",37.111488,-98.048121
67004,Suburban,Argonia,Kansas,820,Sumner,"$60,577",37.26585,-97.76561
67005,Urban,Arkansas City,Kansas,"15,332",Cowley,"$49,438",37.06197,-97.03837
67008,Suburban,Atlanta,Kansas,514,Cowley,"$45,489",37.43641,-96.76475
67009,Rural,Attica,Kansas,931,Harper,"$37,813",37.224885,-98.210087
67010,Suburban,Augusta,Kansas,"13,937",Butler,"$64,124",37.674347,-96.970128
67012,Rural,Beaumont,Kansas,12,Butler,,37.658007,-96.532862
67013,Suburban,Belle Plaine,Kansas,"3,087",Sumner,"$64,554",37.359755,-97.287694
67016,Suburban,Bentley,Kansas,462,Sedgwick,"$50,000",37.886596,-97.516631
67017,Suburban,Benton,Kansas,"1,820",Butler,"$82,950",37.831767,-97.097363
67018,Rural,Bluff City,Kansas,100,Harper,,37.062263,-97.865887
67019,Suburban,Burden,Kansas,914,Cowley,"$64,375",37.37062,-96.759983
67020,Suburban,Burrton,Kansas,"1,394",Harvey,"$61,702",38.0239,-97.66977
