zip,15_min,30_min,45_min,60_min
4646,0,1,1,4
4648,0,0,1,2
4649,0,0,0,2
4650,0,1,4,7
4652,0,1,1,1
4653,0,1,1,4
4654,0,0,1,2
4655,0,0,1,2
4657,0,1,1,1
4658,0,0,1,4
4660,0,1,2,4
4662,0,1,1,4
4664,1,1,3,6
4666,0,1,1,1
4667,1,1,1,1
4668,0,1,1,2
4669,0,1,1,3
4671,1,1,1,1
4673,0,1,4,6
4674,0,1,2,4
4675,0,1,1,4
4676,0,1,4,6
4677,1,1,3,5
4679,0,1,1,4
4680,0,1,1,3
4681,0,0,2,4
4683,0,1,2,6
4684,1,3,4,7
4685,0,0,2,4
4686,0,0,1,3
4691,0,0,1,1
4693,0,1,1,3
4694,0,1,1,1
4730,1,1,2,2
4732,0,1,2,2
4733,0,0,2,2
4734,0,2,2,2
4735,0,2,2,2
4736,1,1,1,2
4737,0,0,0,1
4739,0,0,1,1
4740,0,1,2,2
4742,0,1,1,2
4743,0,0,0,1
4745,0,0,0,1
4746,0,0,0,1
4747,0,1,1,3
4750,0,1,1,2
4756,0,0,0,1
4757,1,1,2,2
4758,1,2,2,2
4760,1,2,2,2
4761,1,1,2,3
4762,0,1,1,2
4763,1,1,2,3
4764,0,1,2,2
4765,0,0,1,3
4766,1,1,1,2
4768,0,1,1,2
4769,1,1,2,2
4772,0,0,0,1
4773,0,0,0,1
4774,0,0,0,1
4776,0,0,2,2
4777,0,0,2,2
4779,0,0,1,1
4780,0,1,2,3
4781,0,0,0,1
4783,0,1,1,1
4785,0,0,1,1
4786,1,1,1,2
4787,1,1,2,2
4841,1,1,4,10
4843,1,1,6,10
4847,0,1,3,10
4848,0,1,4,8
4849,0,1,5,8
4851,0,1,1,3
4852,0,0,2,6
4853,0,1,2,7
4854,1,1,1,6
4855,0,1,2,6
4856,1,1,2,9
4858,1,1,1,5
4859,1,1,1,5
4860,0,1,2,5
4861,1,1,3,8
4862,0,1,4,11
4863,0,1,2,6
4864,1,1,4,9
4901,3,5,12,15
4910,1,4,8,13
4911,0,3,6,8
4912,0,2,4,8
4915,0,2,8,10
4917,2,4,10,14
4918,2,4,9,14
4920,0,1,4,6
4921,0,4,8,10
4922,1,3,8,12
4923,0,2,4,8
4924,2,5,7,11
4925,0,0,1,4
4926,1,4,9,13
4927,1,4,8,12
4928,1,4,6,10
4929,1,5,7,10
4930,0,1,5,8
4932,1,4,8,10
4936,0,0,0,3
4937,3,5,11,14
4938,1,5,8,11
4939,1,3,6,9
4940,1,5,8,12
4941,0,1,7,11
4942,0,2,4,7
4943,1,3,7,11
4944,3,5,10,13
4945,0,0,0,0
4947,0,0,3,4
4949,0,2,5,11
4950,1,3,5,9
4951,0,3,8,10
4952,0,1,7,10
4953,1,1,5,9
4955,1,4,6,9
4956,0,2,5,8
4957,2,5,6,12
