origin,destination,ruca,great_circle_distance,travel_time
"42.101796,-72.59151","41.605998,-72.713183",Urban,34.82396948403509,39
"32.91537,-102.41602","31.855642,-102.411422",Rural,73.22072509291617,87
"36.374826,-77.370513","36.375936,-78.98503",Suburban,89.81534159916424,127
"40.33514,-79.983243","40.901069,-80.817981",Urban,58.698415574012074,91
"31.180919,-81.493973","31.851168,-81.579253",Urban,46.58141890506402,61
"48.80359,-95.09689","48.111545,-96.150057",Suburban,67.93325506355387,107
"42.380442,-71.132947","42.373038,-71.558804",Urban,21.742297961742256,45
"32.02814,-110.03868","32.293698,-111.013295",Suburban,59.88644732816041,64
"44.659815,-97.573152","43.541182,-96.658448",Rural,89.62878689885146,118
"41.743437,-87.98046","42.725561,-88.986654",Urban,85.17058742220512,104
"44.971811,-108.622097","44.779291,-106.940236",Rural,83.4138191724721,166
"38.195385,-121.994935","37.40094,-122.10938",Urban,55.24538013571273,97
"48.07877,-118.68501","47.645553,-117.558562",Rural,60.187312555084546,122
"30.599773,-89.112683","30.262109,-89.792557",Suburban,46.74217954392223,63
"42.19187,-111.40132","43.198152,-112.357836",Rural,84.81289404335358,121
"40.45062,-80.86036","41.642383,-81.447218",Suburban,87.83742324933435,126
"36.25229,-92.69072","36.368227,-94.224963",Rural,85.79591709067574,144
"45.566095,-111.721631","46.593553,-111.990866",Rural,72.15364474962166,91
"40.829529,-73.865704","40.695791,-73.578099",Urban,17.661328812907623,37
"43.446092,-72.92087","43.041097,-71.474546",Suburban,77.98650964341492,130
"36.38396,-92.58155","35.867263,-92.101816",Suburban,44.62409809051257,84
"39.29305,-103.06716","39.334282,-101.728322",Rural,71.62605272690942,65
"43.41858,-95.53279","42.781841,-96.187651",Rural,55.017512824018624,67
"46.40429,-120.54423","46.601337,-120.48046",Suburban,13.948352293755088,24
"34.50037,-91.55263","34.54333,-92.635443",Suburban,61.71217374501084,88
"40.801913,-73.9347","40.08205,-75.027237",Urban,75.98832096788072,102
"31.493332,-93.464539","32.228363,-92.708211",Rural,67.44668478313578,101
"41.203365,-75.914623","40.158903,-75.138841",Urban,82.8251347417427,105
"46.381159,-115.918826","46.712734,-117.174749",Suburban,63.926241157101366,116
"43.960084,-95.60317","43.603284,-96.789711",Rural,64.11750969916324,83
"46.290753,-107.228948","45.828755,-108.468116",Rural,67.4425347106388,70
"41.40577,-86.242235","42.385414,-86.254341",Suburban,67.68981933221356,78
"33.905323,-81.335083","35.078844,-80.649828",Urban,89.9837073605937,108
"43.6866,-89.483441","43.018775,-87.965474",Suburban,89.13400015537655,105
"40.157452,-75.124753","40.322639,-76.562571",Urban,76.68670857193655,90
"43.713218,-72.925199","44.841722,-73.089697",Suburban,78.39563062222088,119
"43.385775,-90.017885","43.570369,-90.886349",Rural,45.37128088299382,76
"32.74985,-86.51137","33.845639,-87.254307",Suburban,87.02278838182089,94
"36.324103,-88.782561","35.99769,-88.437685",Urban,29.643715924571097,37
"40.012273,-74.66464","40.632011,-74.913583",Suburban,44.78285760871877,73
"40.729298,-80.942791","40.678952,-80.301757",Suburban,33.75625856071467,64
"38.658807,-76.824293","39.378836,-76.507215",Suburban,52.58040308315014,77
"34.880706,-87.742362","36.059999,-87.381232",Suburban,83.9769326204755,126
"41.325764,-84.279306","41.669946,-85.898023",Urban,87.07654568675477,119
"42.12653,-121.93001","42.367166,-122.859693",Suburban,50.37291352898615,80
"39.82588,-81.123561","39.019778,-80.414907",Rural,67.32458897590945,144
"34.24093,-96.54917","33.222051,-96.629904",Rural,70.55051561051168,82
"40.655097,-111.833966","41.483988,-112.030281",Urban,58.17667441634169,64
"37.275674,-79.877505","36.956277,-81.099122",Urban,70.83126414200026,84
"39.73278,-95.26942","39.007835,-94.148084",Rural,78.07728719427257,106
"43.52969,-91.92988","42.486852,-92.440126",Rural,76.52592797594122,105
"36.52895,-92.85878","37.189977,-93.260902",Rural,50.7952295974495,85
"39.739927,-85.885962","39.881584,-85.386263",Urban,28.269872623311844,40
"40.639028,-91.7394","39.935437,-91.333515",Rural,53.11200289462683,77
"41.06064,-75.77408","40.637927,-74.424794",Suburban,76.32758535710384,107
"41.295367,-90.290476","40.979147,-91.541916",Suburban,68.68757059098817,104
"40.036673,-98.069593","40.303524,-96.744541",Rural,72.3462103523445,87
"43.020023,-124.136075","42.469205,-122.813827",Rural,77.1336267109939,150
"26.86261,-80.62225","26.125169,-81.762627",Suburban,86.99863254478736,144
"44.148244,-92.903452","45.021565,-93.184193",Suburban,61.9018926510364,76
"42.83065,-71.00228","42.74297,-71.165523",Urban,10.257578276775432,15
"42.177175,-74.547279","41.742249,-74.371004",Rural,31.38564423330762,68
"39.794042,-86.27074","40.772932,-85.168259",Urban,89.1679566009049,116
"39.537979,-118.343592","38.924178,-119.722684",Urban,85.12377168057998,182
"40.948689,-74.241168","40.244043,-74.293902",Urban,48.76494321061188,72
"43.853763,-91.246238","42.974373,-90.118133",Urban,83.0497815432232,135
"31.440685,-106.076524","31.860475,-106.587172",Suburban,41.75337506266928,52
"33.563223,-89.641871","33.755281,-90.715568",Rural,63.15756111192296,84
"41.566464,-70.984253","42.300862,-71.399533",Urban,55.04870315728313,80
"47.1586,-100.78347","48.194732,-101.299693",Rural,75.51015613421826,77
"39.28899,-77.85972","38.405124,-78.864126",Suburban,81.55071131146961,95
"47.824102,-112.266872","47.491168,-111.219167",Rural,53.911968220670154,71
"45.643851,-94.660815","44.781221,-93.285866",Rural,89.61568427747345,97
"43.534993,-92.069594","44.019201,-90.509387",Rural,84.71919796185819,108
"35.152995,-106.311441","35.320242,-106.571701",Suburban,18.688365203095984,47
"35.568521,-92.134082","36.356824,-92.341212",Rural,55.68463924019909,108
"44.34777,-87.82732","43.489272,-88.811505",Suburban,76.92571542561078,102
"27.974863,-82.745191","27.034598,-82.217057",Urban,72.58182422580155,90
"40.649533,-80.822333","41.622115,-80.21389",Suburban,74.2839939689869,102
"39.489212,-119.196644","39.615482,-119.85317",Suburban,36.04737504954772,53
"41.23314,-76.51578","40.991752,-76.879082",Suburban,25.21577615495788,39
"40.400091,-80.046176","39.987493,-81.574202",Urban,85.53523589005695,101
"42.019093,-88.178475","42.947781,-88.01076",Urban,64.73276553196104,92
"40.524819,-101.061328","40.744891,-99.742081",Rural,70.82322194682364,120
"39.962604,-86.174761","40.413403,-86.826881",Urban,46.420944862314165,56
"44.913969,-93.44813","44.54305,-95.085641",Urban,84.3659634396089,105
"40.265457,-74.816757","41.322585,-75.746799",Urban,87.75754410707415,121
"41.263559,-80.54444","42.15937,-79.967999",Urban,68.66495281398426,96
