origin,destination,ruca,great_circle_distance,driving_time,driving_distance
"37.737191,-121.433384","37.752127,-121.472143",Urban,2.355688132537475,11.0,3.6462050280000002
"42.176131,-72.31457","42.237643,-72.278985",Urban,4.6238445097365295,44.0,40.822210587
"37.73121,-81.317326","37.805492,-81.176898",Suburban,9.228681464987249,23.0,12.425555887
"37.136607,-97.329247","37.273851,-97.373129",Rural,9.785316585098409,23.0,18.049584808
"39.47981,-80.30981","39.424874,-80.19093",Suburban,7.391389757507833,19.0,10.101006976
"40.9875,-96.66612","40.858333,-96.678423",Suburban,8.94767285878618,15.0,12.190677649
"41.096421,-84.112031","41.034627,-84.035068",Suburban,5.856914500929056,11.0,7.772729839
"43.54776,-97.98813","43.685351,-98.009872",Suburban,9.56864060941936,13.0,10.777058624
"29.620312,-95.605693","29.67649,-95.457765",Urban,9.693750814558008,22.0,18.35529934
"30.240685,-97.768832","30.355478,-97.733544",Urban,8.206058252792005,20.0,10.680124747999999
"42.247643,-88.999892","42.315953,-89.113042",Urban,7.465349429253372,21.0,9.659833566
"33.56375,-81.80789","33.501514,-81.95738",Urban,9.623875360699676,18.0,11.612802619
"29.653418,-95.475296","29.674425,-95.495469",Urban,1.8903923248207992,10.0,3.250391701
"44.02301,-69.255572","44.091646,-69.137732",Rural,7.531643967874145,16.0,9.510083155
"37.351528,-122.036962","37.40094,-122.10938",Urban,5.240787497039694,18.0,6.599581391
"46.810788,-92.072288","46.694517,-92.105186",Urban,8.183122830584049,18.0,11.636414717000001
"38.632891,-75.334263","38.70263,-75.404383",Suburban,6.125948652057467,12.0,6.587153971
"43.630346,-72.93586","43.612769,-72.963098",Urban,1.82509649682234,5.0,2.480513032
"25.736599,-80.311216","25.748146,-80.332238",Urban,1.532400685871753,9.0,2.484241258
"34.95064,-84.38492","34.877081,-84.325372",Rural,6.100331016455291,11.0,7.68635927
"38.66255,-87.04612","38.640032,-87.176879",Rural,7.225168969165863,12.0,9.013607726
"38.006484,-84.979923","38.03534,-84.909499",Suburban,4.32073843430691,8.0,4.886461544
"41.112563,-95.995482","41.155561,-95.936587",Urban,4.268423566908646,13.0,6.936364473
"40.787112,-74.127316","40.750422,-73.996328",Urban,7.308101409587696,24.0,11.677425203
"41.736788,-88.041731","41.745974,-88.198266",Urban,8.095014587519746,19.0,9.406935569
"40.489378,-111.485127","40.493305,-111.418832",Urban,3.49407664246475,9.0,5.197147044
"37.730001,-79.355121","37.805918,-79.409812",Suburban,6.036286806765842,15.0,8.60598835
"30.24548,-85.64826","30.188203,-85.66731",Urban,4.11766624184022,11.0,4.655932903
"29.05725,-81.225582","29.06169,-81.30226",Suburban,4.641168697762708,16.0,6.346062023
"33.61316,-86.11831","33.6101,-86.278094",Suburban,9.196659291708391,15.0,11.276019537
"40.398907,-88.868647","40.515203,-88.949145",Suburban,9.08160892821545,19.0,11.709115124
"40.25787,-75.7263","40.35148,-75.627793",Suburban,8.293020721498426,18.0,13.036984951
"29.939504,-90.074122","29.934418,-89.923358",Urban,9.033775744800622,27.0,12.727542193
"38.935202,-77.18672","38.929915,-77.245205",Urban,3.164537242550618,9.0,4.156350619
"39.974861,-75.312081","39.926935,-75.144921",Urban,9.45287521055238,31.0,25.094067835
"31.538397,-83.784347","31.526243,-83.811616",Suburban,1.812222247945896,4.0,2.362452542
