zip,15_min,30_min,45_min,60_min,ruca,population,median_household_income
1223,1,6,20,38,Suburban,"2,658","$64,750"
1224,2,13,25,44,Urban,186,
1225,2,13,24,41,Urban,"3,243","$69,069"
1226,2,13,24,43,Urban,"6,356","$72,664"
1229,0,2,11,29,Rural,142,
1230,0,4,20,37,Suburban,"9,139","$71,281"
1235,1,4,20,36,Suburban,"2,610","$66,516"
1236,0,3,18,37,Suburban,"1,632","$77,588"
1237,2,11,22,39,Urban,"2,332","$78,413"
1238,1,3,19,35,Suburban,"5,626","$69,840"
1240,1,4,20,35,Suburban,"4,926","$72,200"
1242,1,3,19,35,Suburban,279,
1243,1,7,20,40,Suburban,163,"$74,688"
1244,0,1,11,32,Rural,164,"$53,462"
1245,0,1,13,32,Rural,771,"$101,488"
1247,3,12,23,37,Urban,"15,405","$51,959"
1253,0,2,13,34,Rural,879,"$93,625"
1254,1,8,19,35,Suburban,995,"$97,500"
1255,0,3,14,32,Rural,865,"$76,750"
1256,2,5,19,33,Suburban,708,"$51,250"
1257,0,0,8,31,Rural,"2,034","$64,531"
1258,0,1,10,33,Rural,161,"$92,917"
1259,0,1,13,33,Rural,720,"$110,417"
1260,1,3,20,35,Suburban,331,"$123,367"
1262,0,2,12,27,Rural,"1,627","$51,875"
1264,0,1,12,33,Rural,252,"$73,333"
1266,0,2,11,23,Rural,920,"$85,406"
1267,4,11,23,34,Urban,"8,166","$95,360"
1270,2,5,18,33,Suburban,949,"$99,063"
1301,4,14,22,50,Urban,"17,901","$52,569"
1330,1,8,15,38,Suburban,"1,542","$74,355"
1331,4,19,35,57,Urban,"13,870","$61,990"
1337,2,8,19,32,Suburban,"2,492","$75,938"
1338,0,5,12,25,Rural,97,"$57,344"
1339,1,7,16,36,Suburban,"1,493","$65,139"
1340,1,7,14,32,Suburban,"1,818","$64,097"
1341,2,10,17,41,Suburban,"1,658","$86,875"
1342,2,8,20,37,Suburban,"1,135","$99,732"
1343,1,6,17,32,Suburban,152,"$74,545"
1344,1,8,22,38,Suburban,"1,697","$66,319"
1346,1,7,16,34,Suburban,407,"$99,082"
1347,4,14,27,56,Urban,207,"$67,500"
1349,4,16,27,54,Urban,715,"$63,717"
1350,1,4,16,29,Suburban,114,
1351,4,16,27,56,Urban,"2,725","$100,078"
1354,2,8,20,35,Suburban,"1,708","$72,500"
1355,1,14,25,43,Suburban,"1,010","$72,064"
1360,2,7,19,34,Suburban,"2,899","$83,750"
1364,5,17,32,52,Urban,"7,684","$53,039"
1366,2,16,28,49,Suburban,"1,141","$77,500"
1367,1,6,18,31,Suburban,473,"$67,500"
1368,5,14,32,54,Urban,"1,461","$89,417"
1370,0,4,13,26,Rural,"3,690","$69,643"
1373,2,9,22,38,Suburban,"5,076","$83,826"
1375,2,8,22,39,Suburban,"3,667","$58,750"
1376,4,13,24,52,Urban,"4,968","$50,921"
1378,2,9,22,39,Suburban,762,"$75,179"
1379,1,9,22,39,Suburban,819,"$60,372"
1380,1,10,23,41,Suburban,47,"$72,500"
1420,8,27,47,71,Urban,"41,766","$60,390"
1430,4,14,31,52,Suburban,"6,316","$103,762"
1431,4,15,33,54,Suburban,"3,189","$95,536"
1432,11,30,49,69,Urban,"7,912","$97,097"
1434,4,20,42,61,Suburban,"2,245","$140,391"
1436,5,20,37,62,Urban,"3,673","$75,833"
