zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
81081,Suburban,Trinchera,Colorado,157,Las Animas,,179,0.0053221538370053,2,37.04224,-104.04747
80833,Suburban,Rush,Colorado,921,Lincoln,"$36,380",179,0.0053221538370053,2,38.818756,-104.117904
80129,Urban,Littleton,Colorado,"30,340",Douglas,"$118,876",192,0.0057086789760057,2,39.545917,-105.011797
80224,Urban,Denver,Colorado,"18,995",Denver,"$70,327",192,0.0057086789760057,2,39.702037,-104.911434
6758,Suburban,Lakeside,Connecticut,32,Litchfield,"$67,708",67,0.0019920911010019,1,41.676116,-73.246125
6488,Urban,Southbury,Connecticut,"19,866",New Haven,"$102,044",204,0.006065471412006,2,41.470921,-73.240839
6907,Urban,Stamford,Connecticut,"8,849",Fairfield,"$99,861",204,0.006065471412006,2,41.100918,-73.520517
19904,Urban,Dover,Delaware,"37,940",Kent,"$60,014",50,0.0014866351500014,1,39.160542,-75.597381
32347,Suburban,Perry,Florida,"7,072",Taylor,"$49,430",251,0.0074629084530074,3,30.17247,-83.609333
34956,Suburban,Indiantown,Florida,"9,751",Martin,"$45,234",251,0.0074629084530074,3,27.106451,-80.45192
34608,Suburban,Spring Hill,Florida,"35,708",Hernando,"$53,764",251,0.0074629084530074,3,28.482826,-82.552854
33993,Urban,Cape Coral,Florida,"29,502",Lee,"$74,807",734,0.0218238040020218,8,26.678619,-82.025384
33068,Urban,Pompano Beach,Florida,"52,541",Broward,"$50,463",734,0.0218238040020218,8,26.215954,-80.217951
32784,Urban,Umatilla,Florida,"10,929",Marion,"$61,952",734,0.0218238040020218,8,28.925371,-81.680144
33473,Urban,Boynton Beach,Florida,"11,454",Palm Beach,"$131,484",734,0.0218238040020218,8,26.503764,-80.191552
33837,Urban,Davenport,Florida,"34,428",Polk,"$63,266",734,0.0218238040020218,8,28.164093,-81.647317
34729,Urban,Ferndale,Florida,32,Lake,,734,0.0218238040020218,8,28.811078,-81.653642
33954,Urban,Port Charlotte,Florida,"10,355",Charlotte,"$73,098",734,0.0218238040020218,8,27.019741,-82.123194
33166,Urban,Miami,Florida,"25,177",Miami-Dade,"$65,902",734,0.0218238040020218,8,25.82232,-80.289495
30559,Rural,Mineral Bluff,Georgia,"4,507",Fannin,"$48,643",51,0.0015163678530015,1,34.936697,-84.268863
30830,Suburban,Waynesboro,Georgia,"14,934",Burke,"$49,581",396,0.0117741503880117,4,33.080724,-81.986767
31816,Suburban,Manchester,Georgia,"4,956",Meriwether,"$37,280",396,0.0117741503880117,4,32.91107,-84.615478
31323,Suburban,Riceboro,Georgia,"1,562",Liberty,"$41,234",396,0.0117741503880117,4,31.785934,-81.57385
31553,Suburban,Nahunta,Georgia,"4,777",Brantley,"$40,903",396,0.0117741503880117,4,31.158299,-81.954478
31034,Urban,Hardwick,Georgia,166,Baldwin,,304,0.009038741712009,3,33.022658,-83.246975
30436,Urban,Lyons,Georgia,"11,672",Toombs,"$41,528",304,0.009038741712009,3,32.129147,-82.330546
31027,Urban,East Dublin,Georgia,"10,202",Laurens,"$39,573",304,0.009038741712009,3,32.552377,-82.781684
83325,Rural,Eden,Idaho,700,Jerome,"$59,107",97,0.0028840721910028,1,42.586804,-114.246706
83868,Suburban,Smelterville,Idaho,656,Shoshone,"$41,094",128,0.0038057859840038,1,47.536163,-116.206234
83661,Urban,Payette,Idaho,"10,321",Payette,"$52,188",54,0.0016055659620016,1,44.063604,-116.750704
61473,Rural,Roseville,Illinois,"1,176",Warren,"$48,750",135,0.004013914905004,2,40.747768,-90.654131
61415,Rural,Avon,Illinois,"1,789",Fulton,"$55,903",135,0.004013914905004,2,40.608139,-90.362984
62862,Suburban,Mill Shoals,Illinois,325,White,"$56,786",783,0.0232807064490232,9,38.24866,-88.34671
61532,Suburban,Forest City,Illinois,485,Mason,"$48,750",783,0.0232807064490232,9,40.305929,-89.8716
61042,Suburban,Harmon,Illinois,501,Lee,"$54,167",783,0.0232807064490232,9,41.689533,-89.545604
61734,Suburban,Delavan,Illinois,"2,647",Tazewell,"$65,655",783,0.0232807064490232,9,40.424081,-89.600252
61830,Suburban,Cisco,Illinois,495,Piatt,"$63,000",783,0.0232807064490232,9,40.028868,-88.69568
62441,Suburban,Marshall,Illinois,"6,994",Clark,"$74,435",783,0.0232807064490232,9,39.39143,-87.69364
62642,Suburban,Greenview,Illinois,"1,276",Menard,"$68,319",783,0.0232807064490232,9,40.101722,-89.746851
61410,Suburban,Abingdon,Illinois,"3,898",Knox,"$49,732",783,0.0232807064490232,9,40.80448,-90.4018
62422,Suburban,Cowden,Illinois,994,Shelby,"$48,929",783,0.0232807064490232,9,39.250015,-88.862961
61008,Urban,Belvidere,Illinois,"34,420",Boone,"$66,594",478,0.0142122320340142,5,42.276381,-88.823215
60714,Urban,Niles,Illinois,"31,208",Cook,"$70,085",478,0.0142122320340142,5,42.031179,-87.811163
60074,Urban,Palatine,Illinois,"37,655",Cook,"$70,999",478,0.0142122320340142,5,42.131462,-88.026329
61764,Urban,Pontiac,Illinois,"13,867",Livingston,"$55,130",478,0.0142122320340142,5,40.87479,-88.630826
62289,Urban,Summerfield,Illinois,332,St. Clair,"$43,875",478,0.0142122320340142,5,38.596698,-89.751194
47854,Rural,Hillsdale,Indiana,609,Vermillion,"$98,438",79,0.0023488835370023,1,39.803019,-87.403057
47104,Suburban,Bethlehem,Indiana,9,Clark,,465,0.0138257068950138,5,38.539899,-85.421753
47126,Suburban,Henryville,Indiana,"4,234",Clark,"$79,418",465,0.0138257068950138,5,38.5504,-85.774327
47458,Suburban,Smithville,Indiana,48,Monroe,,465,0.0138257068950138,5,39.070329,-86.507227
47145,Suburban,Milltown,Indiana,"2,086",Crawford,"$47,950",465,0.0138257068950138,5,38.337832,-86.314971
46366,Suburban,North Judson,Indiana,"5,955",Starke,"$50,372",465,0.0138257068950138,5,41.25163,-86.735127
46324,Urban,Hammond,Indiana,"21,894",Lake,"$51,730",263,0.0078197008890078,3,41.585185,-87.496665
46038,Urban,Fishers,Indiana,"43,067",Hamilton,"$98,522",263,0.0078197008890078,3,39.95559,-86.01387
46814,Urban,Fort Wayne,Indiana,"16,180",Allen,"$121,678",263,0.0078197008890078,3,41.045647,-85.305823
50535,Rural,Early,Iowa,"1,135",Sac,"$68,333",388,0.0115362887640115,4,42.458243,-95.16624
50860,Rural,Redding,Iowa,119,Ringgold,"$45,972",388,0.0115362887640115,4,40.604641,-94.388509
50597,Rural,West Bend,Iowa,"1,229",Palo Alto,"$77,566",388,0.0115362887640115,4,43.002465,-94.501553
50430,Rural,Corwith,Iowa,371,Hancock,"$52,321",388,0.0115362887640115,4,42.980309,-93.872724
51002,Suburban,Alta,Iowa,"2,799",Buena Vista,"$60,568",465,0.0138257068950138,5,42.67359,-95.29055
51031,Suburban,Le Mars,Iowa,"12,418",Plymouth,"$70,727",465,0.0138257068950138,5,42.79416,-96.16558
52071,Suburban,Saint Donatus,Iowa,116,Jackson,"$36,838",465,0.0138257068950138,5,42.319577,-90.490269
51056,Suburban,Smithland,Iowa,349,Woodbury,"$63,857",465,0.0138257068950138,5,42.22916,-95.93084
50162,Suburban,Melbourne,Iowa,"1,339",Marshall,"$60,833",465,0.0138257068950138,5,41.94138,-93.10326
52228,Urban,Fairfax,Iowa,"3,637",Linn,"$110,240",117,0.0034787262510034,1,41.912837,-91.764387
67334,Rural,Chautauqua,Kansas,79,Chautauqua,,293,0.0087116819790087,3,37.026243,-96.178281
67839,Rural,Dighton,Kansas,"1,020",Lane,"$42,917",293,0.0087116819790087,3,38.474188,-100.464651
67491,Rural,Windom,Kansas,286,McPherson,"$53,056",293,0.0087116819790087,3,38.3839,-97.91005
66026,Suburban,Fontana,Kansas,850,Miami,"$63,558",270,0.008027829810008,3,38.417885,-94.88344
67470,Suburban,New Cambria,Kansas,486,Saline,"$71,250",270,0.008027829810008,3,38.905381,-97.515705
66429,Suburban,Grantville,Kansas,484,Jefferson,"$67,054",270,0.008027829810008,3,39.104047,-95.539169
66606,Urban,Topeka,Kansas,"9,647",Shawnee,"$51,463",140,0.0041625784200041,2,39.059349,-95.72161
66506,Urban,Manhattan,Kansas,"3,307",Riley,,140,0.0041625784200041,2,39.196032,-96.583875
41810,Rural,Cromona,Kentucky,362,Letcher,,180,0.0053518865400053,2,37.18649,-82.6971
41775,Rural,Wendover,Kentucky,76,Leslie,,180,0.0053518865400053,2,37.099564,-83.346784
42153,Suburban,Holland,Kentucky,66,Allen,"$19,063",462,0.0137365087860137,5,36.678703,-86.038273
40468,Suburban,Perryville,Kentucky,"2,138",Boyle,"$59,907",462,0.0137365087860137,5,37.637433,-84.97602
41146,Suburban,Hitchins,Kentucky,522,Carter,"$32,750",462,0.0137365087860137,5,38.279174,-82.896006
40334,Suburban,Hope,Kentucky,15,Bath,,462,0.0137365087860137,5,38.016064,-83.771261
42127,Suburban,Cave City,Kentucky,"6,960",Barren,"$37,787",462,0.0137365087860137,5,37.10279,-85.908887
41005,Urban,Burlington,Kentucky,"25,048",Boone,"$91,979",137,0.004073380311004,2,39.015027,-84.773564
40031,Urban,La Grange,Kentucky,"25,163",Oldham,"$83,248",137,0.004073380311004,2,38.423186,-85.454359
70775,Suburban,Saint Francisville,Louisiana,"10,754",West Feliciana,"$65,674",292,0.0086819492760086,3,30.869398,-91.418642
71446,Suburban,Leesville,Louisiana,"21,469",Vernon,"$53,012",292,0.0086819492760086,3,31.125636,-93.173622
71441,Suburban,Kelly,Louisiana,795,Caldwell,,292,0.0086819492760086,3,31.964848,-92.18248
71201,Urban,Monroe,Louisiana,"21,490",Ouachita,"$51,550",207,0.0061546695210061,2,32.502833,-92.094583
70814,Urban,Baton Rouge,Louisiana,"11,582",East Baton Rouge,"$47,116",207,0.0061546695210061,2,30.488289,-91.072704
21912,Suburban,Warwick,Maryland,"1,393",Cecil,"$71,995",232,0.0068979870960068,3,39.41678,-75.77827
21084,Suburban,Jarrettsville,Maryland,"7,254",Harford,"$101,918",232,0.0068979870960068,3,39.60315,-76.47534
21762,Suburban,Libertytown,Maryland,184,Frederick,,232,0.0068979870960068,3,39.482208,-77.246761
21233,Urban,Baltimore,Maryland,0,Baltimore,,219,0.0065114619570065,2,39.284707,-76.620489
20748,Urban,Temple Hills,Maryland,"40,644",Prince George's,"$73,194",219,0.0065114619570065,2,38.817263,-76.935795
1373,Suburban,South Deerfield,Massachusetts,"5,076",Franklin,"$83,826",89,0.0026462105670026,1,42.47954,-72.59468
2062,Urban,Norwood,Massachusetts,"31,256",Norfolk,"$96,414",428,0.0127255968840127,5,42.182798,-71.196277
1985,Urban,West Newbury,Massachusetts,"4,500",Essex,"$164,250",428,0.0127255968840127,5,42.79414,-70.971068
1852,Urban,Lowell,Massachusetts,"36,740",Middlesex,"$68,256",428,0.0127255968840127,5,42.631849,-71.295785
2170,Urban,Quincy,Massachusetts,"20,130",Norfolk,"$92,052",428,0.0127255968840127,5,42.267248,-71.016742
1450,Urban,Groton,Massachusetts,"11,218",Middlesex,"$169,643",428,0.0127255968840127,5,42.61176,-71.565269
49835,Rural,Garden,Michigan,661,Delta,"$45,781",203,0.006035738709006,2,45.756636,-86.586125
49838,Rural,Gould City,Michigan,326,Mackinac,"$33,409",203,0.006035738709006,2,46.074658,-85.733841
49905,Suburban,Atlantic Mine,Michigan,"2,533",Houghton,"$74,474",423,0.0125769333690125,5,47.072716,-88.634939
49461,Suburban,Whitehall,Michigan,"9,463",Muskegon,"$69,366",423,0.0125769333690125,5,43.345831,-86.327092
48117,Suburban,Carleton,Michigan,"10,383",Monroe,"$69,678",423,0.0125769333690125,5,42.0413,-83.428904
49638,Suburban,Harrietta,Michigan,886,Wexford,"$44,063",423,0.0125769333690125,5,44.280319,-85.710694
48014,Suburban,Capac,Michigan,"4,351",St. Clair,"$62,417",423,0.0125769333690125,5,43.026326,-82.929772
48867,Urban,Owosso,Michigan,"27,163",Shiawassee,"$50,700",366,0.0108821692980108,4,42.982578,-84.184937
48225,Urban,Harper Woods,Michigan,"16,201",Wayne,"$52,600",366,0.0108821692980108,4,42.43309,-82.92408
48747,Urban,Munger,Michigan,"1,555",Bay,"$69,583",366,0.0108821692980108,4,43.529339,-83.762898
48328,Urban,Waterford,Michigan,"26,095",Oakland,"$60,825",366,0.0108821692980108,4,42.647831,-83.355433
56230,Rural,Danube,Minnesota,779,Renville,"$53,015",298,0.0088603454940088,3,44.76007,-95.09754
56557,Rural,Mahnomen,Minnesota,"2,834",Mahnomen,"$44,821",298,0.0088603454940088,3,47.287889,-95.939586
55965,Rural,Preston,Minnesota,"2,308",Fillmore,"$56,125",298,0.0088603454940088,3,43.67024,-92.08322
56253,Suburban,Lake Lillian,Minnesota,936,Kandiyohi,"$63,462",384,0.0114173579520114,4,44.96524,-94.87722
55719,Suburban,Chisholm,Minnesota,"5,710",St. Louis,"$55,172",384,0.0114173579520114,4,47.4891,-92.8838
55756,Suburban,Kerrick,Minnesota,274,Pine,"$62,969",384,0.0114173579520114,4,46.331356,-92.662237
55339,Suburban,Hamburg,Minnesota,959,Carver,"$83,125",384,0.0114173579520114,4,44.73306,-93.96639
56301,Urban,Saint Cloud,Minnesota,"35,453",Stearns,"$61,561",199,0.0059168078970059,2,45.519196,-94.330619
55121,Urban,Saint Paul,Minnesota,"8,590",Dakota,"$69,932",199,0.0059168078970059,2,44.847155,-93.153453
39631,Rural,Centreville,Mississippi,"3,745",Wilkinson,"$27,192",57,0.0016947640710016,1,31.134359,-91.175079
39776,Suburban,Woodland,Mississippi,"1,186",Chickasaw,"$40,625",277,0.0082359587310082,3,33.804808,-89.060746
38921,Suburban,Charleston,Mississippi,"4,847",Tallahatchie,"$34,410",277,0.0082359587310082,3,34.007428,-90.115364
38940,Suburban,Holcomb,Mississippi,"1,632",Grenada,"$45,027",277,0.0082359587310082,3,33.742966,-90.000461
39269,Urban,Jackson,Mississippi,0,Hinds,,93,0.0027651413790027,1,32.301109,-90.18889
65438,Rural,Birch Tree,Missouri,"2,926",Shannon,"$31,938",255,0.0075818392650075,3,36.997849,-91.494175
63539,Rural,Ethel,Missouri,272,Macon,,255,0.0075818392650075,3,39.934265,-92.768069
64632,Rural,Cainsville,Missouri,361,Mercer,"$55,556",255,0.0075818392650075,3,40.46136,-93.83198
63365,Suburban,New Melle,Missouri,79,St. Charles,"$35,972",562,0.0167097790860167,6,38.716287,-90.875127
65601,Suburban,Aldrich,Missouri,598,Polk,"$44,762",562,0.0167097790860167,6,37.534753,-93.543226
64863,Suburban,South West City,Missouri,"1,419",McDonald,"$49,500",562,0.0167097790860167,6,36.51258,-94.61133
65692,Suburban,Koshkonong,Missouri,936,Oregon,"$43,500",562,0.0167097790860167,6,36.596757,-91.645491
64833,Suburban,Avilla,Missouri,64,Jasper,,562,0.0167097790860167,6,37.19533,-94.12966
65773,Suburban,Wasola,Missouri,564,Ozark,"$65,156",562,0.0167097790860167,6,36.79367,-92.57572
65803,Urban,Springfield,Missouri,"42,617",Greene,"$42,485",218,0.0064817292540064,2,37.299377,-93.324456
63107,Urban,Saint Louis,Missouri,"9,069",St. Louis,"$33,944",218,0.0064817292540064,2,38.66535,-90.212561
69334,Rural,Bayard,Nebraska,"2,091",Morrill,"$55,833",301,0.0089495436030089,3,41.760711,-103.32705
69120,Rural,Arnold,Nebraska,"1,138",Custer,"$65,556",301,0.0089495436030089,3,41.423996,-100.194253
68783,Rural,Verdigre,Nebraska,886,Knox,"$42,917",301,0.0089495436030089,3,42.624821,-98.129817
69036,Suburban,Lebanon,Nebraska,66,Red Willow,,203,0.006035738709006,2,40.05084,-100.27625
69123,Suburban,Brady,Nebraska,926,Lincoln,"$64,583",203,0.006035738709006,2,41.049046,-100.391826
68104,Urban,Omaha,Nebraska,"37,274",Douglas,"$51,769",82,0.0024380816460024,1,41.295396,-95.99895
89409,Suburban,Gabbs,Nevada,111,Nye,"$58,958",50,0.0014866351500014,1,38.863664,-117.928173
89404,Urban,Denio,Nevada,17,Humboldt,,107,0.0031813992210031,1,41.9899,-118.63434
8001,Suburban,Alloway,New Jersey,814,Salem,"$93,421",77,0.0022894181310022,1,39.559077,-75.350573
7960,Urban,Morristown,New Jersey,"46,463",Morris,"$147,949",517,0.0153718074510153,6,40.77165,-74.506256
7114,Urban,Newark,New Jersey,"13,617",Essex,"$25,042",517,0.0153718074510153,6,40.705401,-74.169538
7503,Urban,Paterson,New Jersey,"19,365",Passaic,"$56,645",517,0.0153718074510153,6,40.898098,-74.151837
7762,Urban,Spring Lake,New Jersey,"8,442",Monmouth,"$95,609",517,0.0153718074510153,6,40.14595,-74.0268
7803,Urban,Mine Hill,New Jersey,"3,976",Morris,"$100,327",517,0.0153718074510153,6,40.877099,-74.584453
8011,Urban,Birmingham,New Jersey,0,Burlington,,517,0.0153718074510153,6,39.976041,-74.711429
87936,Rural,Garfield,New Mexico,160,Doña Ana,"$18,925",117,0.0034787262510034,1,32.75702,-107.26447
87730,Suburban,Mills,New Mexico,15,Harding,,175,0.0052032230250052,2,36.08531,-104.25526
88023,Suburban,Bayard,New Mexico,"2,197",Grant,"$35,917",175,0.0052032230250052,2,32.76174,-108.1306
88103,Urban,Cannon Afb,New Mexico,0,Curry,,79,0.0023488835370023,1,34.38472,-103.31652
12979,Rural,Rouses Point,New York,"2,324",Clinton,"$42,267",291,0.0086522165730086,3,44.99393,-73.36486
