zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size
1450,Urban,Groton,Massachusetts,"11,218",Middlesex,"$169,643",428,0.012725596884012726,5
49835,Rural,Garden,Michigan,661,Delta,"$45,781",203,0.006035738709006036,2
49838,Rural,Gould City,Michigan,326,Mackinac,"$33,409",203,0.006035738709006036,2
49905,Suburban,Atlantic Mine,Michigan,"2,533",Houghton,"$74,474",423,0.012576933369012578,5
49461,Suburban,Whitehall,Michigan,"9,463",Muskegon,"$69,366",423,0.012576933369012578,5
48117,Suburban,Carleton,Michigan,"10,383",Monroe,"$69,678",423,0.012576933369012578,5
49638,Suburban,Harrietta,Michigan,886,Wexford,"$44,063",423,0.012576933369012578,5
48014,Suburban,Capac,Michigan,"4,351",St. Clair,"$62,417",423,0.012576933369012578,5
48867,Urban,Owosso,Michigan,"27,163",Shiawassee,"$50,700",366,0.010882169298010882,4
48225,Urban,Harper Woods,Michigan,"16,201",Wayne,"$52,600",366,0.010882169298010882,4
48747,Urban,Munger,Michigan,"1,555",Bay,"$69,583",366,0.010882169298010882,4
48328,Urban,Waterford,Michigan,"26,095",Oakland,"$60,825",366,0.010882169298010882,4
56230,Rural,Danube,Minnesota,779,Renville,"$53,015",298,0.00886034549400886,3
56557,Rural,Mahnomen,Minnesota,"2,834",Mahnomen,"$44,821",298,0.00886034549400886,3
55965,Rural,Preston,Minnesota,"2,308",Fillmore,"$56,125",298,0.00886034549400886,3
56253,Suburban,Lake Lillian,Minnesota,936,Kandiyohi,"$63,462",384,0.011417357952011417,4
55719,Suburban,Chisholm,Minnesota,"5,710",St. Louis,"$55,172",384,0.011417357952011417,4
55756,Suburban,Kerrick,Minnesota,274,Pine,"$62,969",384,0.011417357952011417,4
55339,Suburban,Hamburg,Minnesota,959,Carver,"$83,125",384,0.011417357952011417,4
56301,Urban,Saint Cloud,Minnesota,"35,453",Stearns,"$61,561",199,0.005916807897005917,2
55121,Urban,Saint Paul,Minnesota,"8,590",Dakota,"$69,932",199,0.005916807897005917,2
39631,Rural,Centreville,Mississippi,"3,745",Wilkinson,"$27,192",57,0.0016947640710016948,1
39776,Suburban,Woodland,Mississippi,"1,186",Chickasaw,"$40,625",277,0.008235958731008236,3
38921,Suburban,Charleston,Mississippi,"4,847",Tallahatchie,"$34,410",277,0.008235958731008236,3
38940,Suburban,Holcomb,Mississippi,"1,632",Grenada,"$45,027",277,0.008235958731008236,3
39269,Urban,Jackson,Mississippi,0,Hinds,,93,0.002765141379002765,1
65438,Rural,Birch Tree,Missouri,"2,926",Shannon,"$31,938",255,0.007581839265007582,3
63539,Rural,Ethel,Missouri,272,Macon,,255,0.007581839265007582,3
64632,Rural,Cainsville,Missouri,361,Mercer,"$55,556",255,0.007581839265007582,3
63365,Suburban,New Melle,Missouri,79,St. Charles,"$35,972",562,0.01670977908601671,6
65601,Suburban,Aldrich,Missouri,598,Polk,"$44,762",562,0.01670977908601671,6
64863,Suburban,South West City,Missouri,"1,419",McDonald,"$49,500",562,0.01670977908601671,6
65692,Suburban,Koshkonong,Missouri,936,Oregon,"$43,500",562,0.01670977908601671,6
64833,Suburban,Avilla,Missouri,64,Jasper,,562,0.01670977908601671,6
65773,Suburban,Wasola,Missouri,564,Ozark,"$65,156",562,0.01670977908601671,6
65803,Urban,Springfield,Missouri,"42,617",Greene,"$42,485",218,0.006481729254006482,2
63107,Urban,Saint Louis,Missouri,"9,069",St. Louis,"$33,944",218,0.006481729254006482,2
59929,Rural,Proctor,Montana,162,Lake,,218,0.006481729254006482,2
59081,Rural,Silver Gate,Montana,102,Park,"$235,156",218,0.006481729254006482,2
59820,Suburban,Alberton,Montana,"1,950",Mineral,"$57,885",121,0.0035976570630035978,1
69334,Rural,Bayard,Nebraska,"2,091",Morrill,"$55,833",301,0.008949543603008949,3
69120,Rural,Arnold,Nebraska,"1,138",Custer,"$65,556",301,0.008949543603008949,3
68783,Rural,Verdigre,Nebraska,886,Knox,"$42,917",301,0.008949543603008949,3
69036,Suburban,Lebanon,Nebraska,66,Red Willow,,203,0.006035738709006036,2
