origin,destination,distance_in_time
"32.76174,-108.1306","36.015385,-106.067471",5 hour 16 mins
"32.76174,-108.1306","35.074689,-106.191622",4 hour 17 mins
"32.76174,-108.1306","36.731989,-108.226587",6 hour 32 mins
"32.76174,-108.1306","34.198507,-103.319153",6 hour 4 mins
"34.38472,-103.31652","34.11164,-107.243021",4 hour 36 mins
"34.38472,-103.31652","36.015385,-106.067471",3 hour 58 mins
"34.38472,-103.31652","35.074689,-106.191622",2 hour 58 mins
"34.38472,-103.31652","36.731989,-108.226587",6 hour 12 mins
"34.38472,-103.31652","34.198507,-103.319153",20 mins
"44.99393,-73.36486","41.536851,-74.071867",4 hour 3 mins
"44.99393,-73.36486","43.188814,-76.242379",4 hour 16 mins
"44.99393,-73.36486","43.319793,-73.612331",2 hour 11 mins
"42.422827,-78.206289","41.536851,-74.071867",4 hour 33 mins
"42.422827,-78.206289","43.188814,-76.242379",2 hour 30 mins
"42.422827,-78.206289","43.319793,-73.612331",4 hour 59 mins
"42.133206,-79.737701","41.536851,-74.071867",5 hour 44 mins
"42.133206,-79.737701","43.188814,-76.242379",3 hour 30 mins
"42.133206,-79.737701","43.319793,-73.612331",5 hour 59 mins
"42.570794,-77.12259","41.536851,-74.071867",4 hour 7 mins
"42.570794,-77.12259","43.188814,-76.242379",1 hour 32 mins
"42.570794,-77.12259","43.319793,-73.612331",4 hour 2 mins
"43.8884,-75.5113","41.536851,-74.071867",3 hour 45 mins
"43.8884,-75.5113","43.188814,-76.242379",1 hour 33 mins
"43.8884,-75.5113","43.319793,-73.612331",3 hour 5 mins
"42.734157,-77.242693","41.536851,-74.071867",4 hour 13 mins
"42.734157,-77.242693","43.188814,-76.242379",1 hour 25 mins
"42.734157,-77.242693","43.319793,-73.612331",3 hour 54 mins
"42.879227,-75.267172","41.536851,-74.071867",2 hour 49 mins
"42.879227,-75.267172","43.188814,-76.242379",1 hour 12 mins
"42.879227,-75.267172","43.319793,-73.612331",2 hour 16 mins
"42.4098,-74.15236","41.536851,-74.071867",1 hour 18 mins
"42.4098,-74.15236","43.188814,-76.242379",2 hour 26 mins
"42.4098,-74.15236","43.319793,-73.612331",1 hour 38 mins
"42.917622,-78.264873","41.536851,-74.071867",4 hour 49 mins
"42.917622,-78.264873","43.188814,-76.242379",1 hour 57 mins
"42.917622,-78.264873","43.319793,-73.612331",4 hour 27 mins
"42.315975,-74.065515","41.536851,-74.071867",1 hour 8 mins
"42.315975,-74.065515","43.188814,-76.242379",2 hour 40 mins
"42.315975,-74.065515","43.319793,-73.612331",1 hour 40 mins
"42.640179,-78.543738","41.536851,-74.071867",5 hour 2 mins
"42.640179,-78.543738","43.188814,-76.242379",2 hour 38 mins
"42.640179,-78.543738","43.319793,-73.612331",5 hour 7 mins
"40.596828,-74.077837","41.536851,-74.071867",1 hour 30 mins
"40.596828,-74.077837","43.188814,-76.242379",4 hour 20 mins
"40.596828,-74.077837","43.319793,-73.612331",3 hour 33 mins
"42.04615,-73.94862","41.536851,-74.071867",50 mins
"42.04615,-73.94862","43.188814,-76.242379",2 hour 58 mins
"42.04615,-73.94862","43.319793,-73.612331",1 hour 47 mins
"41.16845,-73.76197","41.536851,-74.071867",57 mins
"41.16845,-73.76197","43.188814,-76.242379",4 hour 11 mins
"41.16845,-73.76197","43.319793,-73.612331",2 hour 59 mins
"40.652253,-73.711775","41.536851,-74.071867",1 hour 38 mins
"40.652253,-73.711775","43.188814,-76.242379",4 hour 46 mins
"40.652253,-73.711775","43.319793,-73.612331",3 hour 42 mins
"41.157473,-74.200784","41.536851,-74.071867",34 mins
"41.157473,-74.200784","43.188814,-76.242379",3 hour 40 mins
"41.157473,-74.200784","43.319793,-73.612331",2 hour 38 mins
"40.739024,-73.983542","41.536851,-74.071867",1 hour 21 mins
"40.739024,-73.983542","43.188814,-76.242379",4 hour 22 mins
"40.739024,-73.983542","43.319793,-73.612331",3 hour 25 mins
"40.700101,-73.674074","41.536851,-74.071867",1 hour 37 mins
"40.700101,-73.674074","43.188814,-76.242379",4 hour 42 mins
"40.700101,-73.674074","43.319793,-73.612331",3 hour 41 mins
"40.696533,-73.786776","41.536851,-74.071867",1 hour 34 mins
"40.696533,-73.786776","43.188814,-76.242379",4 hour 39 mins
"40.696533,-73.786776","43.319793,-73.612331",3 hour 38 mins
"40.75586,-73.45404","41.536851,-74.071867",1 hour 44 mins
"40.75586,-73.45404","43.188814,-76.242379",4 hour 51 mins
"40.75586,-73.45404","43.319793,-73.612331",3 hour 48 mins
"35.56685,-75.46849","36.384443,-79.664243",4 hour 54 mins
"35.56685,-75.46849","35.752463,-77.929303",3 hour 3 mins
"35.56685,-75.46849","35.559777,-77.063623",2 hour 18 mins
"35.56685,-75.46849","34.635851,-78.983202",4 hour 35 mins
"35.56685,-75.46849","36.055918,-79.085318",4 hour 5 mins
"35.56685,-75.46849","35.43158,-78.061684",3 hour 23 mins
"35.56685,-75.46849","35.349401,-82.437539",7 hour 30 mins
"35.56685,-75.46849","35.317325,-81.196182",6 hour 16 mins
"35.56685,-75.46849","34.303014,-78.724667",5 hour 10 mins
"35.56685,-75.46849","36.094124,-80.367582",5 hour 10 mins
"35.56685,-75.46849","34.670149,-79.183329",4 hour 43 mins
"35.56685,-75.46849","33.983303,-78.373812",5 hour 1 mins
"35.56685,-75.46849","36.067592,-80.336788",5 hour 7 mins
"35.56685,-75.46849","35.09046,-80.859433",6 hour 8 mins
"35.56685,-75.46849","35.735993,-79.427387",4 hour 17 mins
"35.56685,-75.46849","35.692669,-79.789915",4 hour 47 mins
"35.56685,-75.46849","35.295444,-80.758198",5 hour 49 mins
"35.56685,-75.46849","35.125525,-77.088628",2 hour 53 mins
"35.65511,-82.69624","36.384443,-79.664243",3 hour 12 mins
"35.65511,-82.69624","35.752463,-77.929303",4 hour 43 mins
"35.65511,-82.69624","35.559777,-77.063623",5 hour 31 mins
"35.65511,-82.69624","34.635851,-78.983202",4 hour 28 mins
"35.65511,-82.69624","36.055918,-79.085318",3 hour 25 mins
"35.65511,-82.69624","35.43158,-78.061684",4 hour 41 mins
"35.65511,-82.69624","35.349401,-82.437539",39 mins
"35.65511,-82.69624","35.317325,-81.196182",1 hour 53 mins
"35.65511,-82.69624","34.303014,-78.724667",4 hour 45 mins
"35.65511,-82.69624","36.094124,-80.367582",2 hour 26 mins
"35.65511,-82.69624","34.670149,-79.183329",4 hour 13 mins
"35.65511,-82.69624","33.983303,-78.373812",5 hour 25 mins
"35.65511,-82.69624","36.067592,-80.336788",2 hour 25 mins
"35.65511,-82.69624","35.09046,-80.859433",2 hour 21 mins
"35.65511,-82.69624","35.735993,-79.427387",3 hour 17 mins
"35.65511,-82.69624","35.692669,-79.789915",3 hour 5 mins
"35.65511,-82.69624","35.295444,-80.758198",2 hour 21 mins
"35.65511,-82.69624","35.125525,-77.088628",5 hour 43 mins
"34.32072,-78.40195","36.384443,-79.664243",3 hour 10 mins
"34.32072,-78.40195","35.752463,-77.929303",2 hour 17 mins
"34.32072,-78.40195","35.559777,-77.063623",2 hour 39 mins
"34.32072,-78.40195","34.635851,-78.983202",52 mins
"34.32072,-78.40195","36.055918,-79.085318",2 hour 41 mins
"34.32072,-78.40195","35.43158,-78.061684",1 hour 54 mins
"34.32072,-78.40195","35.349401,-82.437539",4 hour 25 mins
"34.32072,-78.40195","35.317325,-81.196182",3 hour 11 mins
"34.32072,-78.40195","34.303014,-78.724667",27 mins
"34.32072,-78.40195","36.094124,-80.367582",3 hour 8 mins
"34.32072,-78.40195","34.670149,-79.183329",58 mins
"34.32072,-78.40195","33.983303,-78.373812",35 mins
"34.32072,-78.40195","36.067592,-80.336788",3 hour 5 mins
"34.32072,-78.40195","35.09046,-80.859433",2 hour 43 mins
"34.32072,-78.40195","35.735993,-79.427387",2 hour 20 mins
"34.32072,-78.40195","35.692669,-79.789915",2 hour 26 mins
"34.32072,-78.40195","35.295444,-80.758198",2 hour 54 mins
"34.32072,-78.40195","35.125525,-77.088628",2 hour 5 mins
"36.483901,-80.105319","36.384443,-79.664243",43 mins
"36.483901,-80.105319","35.752463,-77.929303",2 hour 44 mins
"36.483901,-80.105319","35.559777,-77.063623",3 hour 32 mins
"36.483901,-80.105319","34.635851,-78.983202",2 hour 58 mins
"36.483901,-80.105319","36.055918,-79.085318",1 hour 26 mins
"36.483901,-80.105319","35.43158,-78.061684",2 hour 42 mins
"36.483901,-80.105319","35.349401,-82.437539",3 hour 17 mins
"36.483901,-80.105319","35.317325,-81.196182",2 hour 15 mins
"36.483901,-80.105319","34.303014,-78.724667",3 hour 19 mins
"36.483901,-80.105319","36.094124,-80.367582",58 mins
"36.483901,-80.105319","34.670149,-79.183329",2 hour 47 mins
"36.483901,-80.105319","33.983303,-78.373812",3 hour 59 mins
"36.483901,-80.105319","36.067592,-80.336788",54 mins
"36.483901,-80.105319","35.09046,-80.859433",2 hour 8 mins
"36.483901,-80.105319","35.735993,-79.427387",1 hour 21 mins
"36.483901,-80.105319","35.692669,-79.789915",1 hour 17 mins
"36.483901,-80.105319","35.295444,-80.758198",1 hour 49 mins
"36.483901,-80.105319","35.125525,-77.088628",3 hour 44 mins
"34.32239,-78.5989","36.384443,-79.664243",2 hour 59 mins
"34.32239,-78.5989","35.752463,-77.929303",2 hour 17 mins
"34.32239,-78.5989","35.559777,-77.063623",2 hour 50 mins
"34.32239,-78.5989","34.635851,-78.983202",42 mins
"34.32239,-78.5989","36.055918,-79.085318",2 hour 35 mins
"34.32239,-78.5989","35.43158,-78.061684",1 hour 54 mins
"34.32239,-78.5989","35.349401,-82.437539",4 hour 14 mins
"34.32239,-78.5989","35.317325,-81.196182",3 hour 0 mins
"34.32239,-78.5989","34.303014,-78.724667",16 mins
"34.32239,-78.5989","36.094124,-80.367582",2 hour 56 mins
"34.32239,-78.5989","34.670149,-79.183329",46 mins
"34.32239,-78.5989","33.983303,-78.373812",40 mins
"34.32239,-78.5989","36.067592,-80.336788",2 hour 53 mins
"34.32239,-78.5989","35.09046,-80.859433",2 hour 31 mins
"34.32239,-78.5989","35.735993,-79.427387",2 hour 14 mins
"34.32239,-78.5989","35.692669,-79.789915",2 hour 14 mins
"34.32239,-78.5989","35.295444,-80.758198",2 hour 43 mins
"34.32239,-78.5989","35.125525,-77.088628",2 hour 15 mins
"35.81042,-80.55589","36.384443,-79.664243",1 hour 24 mins
"35.81042,-80.55589","35.752463,-77.929303",2 hour 52 mins
"35.81042,-80.55589","35.559777,-77.063623",3 hour 40 mins
"35.81042,-80.55589","34.635851,-78.983202",2 hour 41 mins
"35.81042,-80.55589","36.055918,-79.085318",1 hour 34 mins
"35.81042,-80.55589","35.43158,-78.061684",2 hour 49 mins
"35.81042,-80.55589","35.349401,-82.437539",2 hour 23 mins
"35.81042,-80.55589","35.317325,-81.196182",1 hour 20 mins
"35.81042,-80.55589","34.303014,-78.724667",3 hour 2 mins
"35.81042,-80.55589","36.094124,-80.367582",37 mins
"35.81042,-80.55589","34.670149,-79.183329",2 hour 30 mins
"35.81042,-80.55589","33.983303,-78.373812",3 hour 42 mins
"35.81042,-80.55589","36.067592,-80.336788",37 mins
"35.81042,-80.55589","35.09046,-80.859433",1 hour 12 mins
"35.81042,-80.55589","35.735993,-79.427387",1 hour 23 mins
"35.81042,-80.55589","35.692669,-79.789915",1 hour 1 mins
"35.81042,-80.55589","35.295444,-80.758198",53 mins
"35.81042,-80.55589","35.125525,-77.088628",3 hour 52 mins
"35.712397,-78.915514","36.384443,-79.664243",1 hour 31 mins
"35.712397,-78.915514","35.752463,-77.929303",1 hour 9 mins
"35.712397,-78.915514","35.559777,-77.063623",1 hour 57 mins
"35.712397,-78.915514","34.635851,-78.983202",1 hour 48 mins
"35.712397,-78.915514","36.055918,-79.085318",42 mins
"35.712397,-78.915514","35.43158,-78.061684",1 hour 6 mins
"35.712397,-78.915514","35.349401,-82.437539",3 hour 56 mins
"35.712397,-78.915514","35.317325,-81.196182",2 hour 42 mins
"35.712397,-78.915514","34.303014,-78.724667",2 hour 21 mins
"35.712397,-78.915514","36.094124,-80.367582",1 hour 40 mins
"35.712397,-78.915514","34.670149,-79.183329",1 hour 53 mins
"35.712397,-78.915514","33.983303,-78.373812",2 hour 43 mins
"35.712397,-78.915514","36.067592,-80.336788",1 hour 37 mins
"35.712397,-78.915514","35.09046,-80.859433",2 hour 35 mins
"35.712397,-78.915514","35.735993,-79.427387",36 mins
"35.712397,-78.915514","35.692669,-79.789915",1 hour 6 mins
"35.712397,-78.915514","35.295444,-80.758198",2 hour 16 mins
"35.712397,-78.915514","35.125525,-77.088628",2 hour 8 mins
"34.903793,-76.899976","36.384443,-79.664243",3 hour 38 mins
"34.903793,-76.899976","35.752463,-77.929303",1 hour 52 mins
"34.903793,-76.899976","35.559777,-77.063623",1 hour 5 mins
"34.903793,-76.899976","34.635851,-78.983202",2 hour 58 mins
"34.903793,-76.899976","36.055918,-79.085318",2 hour 48 mins
"34.903793,-76.899976","35.43158,-78.061684",1 hour 29 mins
"34.903793,-76.899976","35.349401,-82.437539",6 hour 13 mins
"34.903793,-76.899976","35.317325,-81.196182",4 hour 59 mins
"34.903793,-76.899976","34.303014,-78.724667",2 hour 51 mins
"34.903793,-76.899976","36.094124,-80.367582",3 hour 54 mins
"34.903793,-76.899976","34.670149,-79.183329",3 hour 6 mins
"34.903793,-76.899976","33.983303,-78.373812",2 hour 37 mins
"34.903793,-76.899976","36.067592,-80.336788",3 hour 51 mins
"34.903793,-76.899976","35.09046,-80.859433",4 hour 51 mins
"34.903793,-76.899976","35.735993,-79.427387",2 hour 59 mins
"34.903793,-76.899976","35.692669,-79.789915",3 hour 29 mins
"34.903793,-76.899976","35.295444,-80.758198",4 hour 33 mins
"34.903793,-76.899976","35.125525,-77.088628",31 mins
"35.691689,-80.432679","36.384443,-79.664243",1 hour 10 mins
"35.691689,-80.432679","35.752463,-77.929303",2 hour 38 mins
"35.691689,-80.432679","35.559777,-77.063623",3 hour 26 mins
"35.691689,-80.432679","34.635851,-78.983202",2 hour 28 mins
"35.691689,-80.432679","36.055918,-79.085318",1 hour 20 mins
"35.691689,-80.432679","35.43158,-78.061684",2 hour 36 mins
"35.691689,-80.432679","35.349401,-82.437539",2 hour 20 mins
"35.691689,-80.432679","35.317325,-81.196182",1 hour 6 mins
"35.691689,-80.432679","34.303014,-78.724667",2 hour 49 mins
"35.691689,-80.432679","36.094124,-80.367582",43 mins
"35.691689,-80.432679","34.670149,-79.183329",2 hour 17 mins
"35.691689,-80.432679","33.983303,-78.373812",3 hour 29 mins
"35.691689,-80.432679","36.067592,-80.336788",40 mins
"35.691689,-80.432679","35.09046,-80.859433",58 mins
"35.691689,-80.432679","35.735993,-79.427387",1 hour 9 mins
"35.691689,-80.432679","35.692669,-79.789915",48 mins
"35.691689,-80.432679","35.295444,-80.758198",39 mins
"35.691689,-80.432679","35.125525,-77.088628",3 hour 38 mins
"35.209125,-80.92175","36.384443,-79.664243",1 hour 51 mins
"35.209125,-80.92175","35.752463,-77.929303",3 hour 19 mins
"35.209125,-80.92175","35.559777,-77.063623",4 hour 7 mins
"35.209125,-80.92175","34.635851,-78.983202",2 hour 23 mins
"35.209125,-80.92175","36.055918,-79.085318",2 hour 1 mins
"35.209125,-80.92175","35.43158,-78.061684",3 hour 17 mins
"35.209125,-80.92175","35.349401,-82.437539",1 hour 42 mins
"35.209125,-80.92175","35.317325,-81.196182",28 mins
"35.209125,-80.92175","34.303014,-78.724667",2 hour 44 mins
"35.209125,-80.92175","36.094124,-80.367582",1 hour 22 mins
"35.209125,-80.92175","34.670149,-79.183329",2 hour 12 mins
"35.209125,-80.92175","33.983303,-78.373812",3 hour 24 mins
"35.209125,-80.92175","36.067592,-80.336788",1 hour 21 mins
"35.209125,-80.92175","35.09046,-80.859433",19 mins
"35.209125,-80.92175","35.735993,-79.427387",1 hour 51 mins
"35.209125,-80.92175","35.692669,-79.789915",1 hour 29 mins
"35.209125,-80.92175","35.295444,-80.758198",19 mins
"35.209125,-80.92175","35.125525,-77.088628",4 hour 19 mins
"48.770913,-99.772702","46.858098,-100.768499",2 hour 58 mins
"48.532242,-103.772098","46.858098,-100.768499",3 hour 45 mins
"48.67475,-102.08266","46.858098,-100.768499",2 hour 28 mins
"47.978815,-101.668252","46.858098,-100.768499",1 hour 36 mins
"41.549414,-80.967673","41.374417,-83.119163",2 hour 9 mins
"41.549414,-80.967673","41.157701,-81.300226",53 mins
"41.549414,-80.967673","39.249364,-84.429904",4 hour 17 mins
"41.549414,-80.967673","40.28985,-84.191917",3 hour 48 mins
"41.549414,-80.967673","40.900606,-81.160876",1 hour 10 mins
"41.549414,-80.967673","40.106297,-83.715264",3 hour 27 mins
"41.549414,-80.967673","41.161889,-81.859899",1 hour 21 mins
"41.549414,-80.967673","39.582637,-82.94895",3 hour 21 mins
"41.549414,-80.967673","39.527904,-84.769548",4 hour 43 mins
"41.549414,-80.967673","41.350905,-82.067269",1 hour 19 mins
"40.065733,-81.074799","41.374417,-83.119163",3 hour 13 mins
"40.065733,-81.074799","41.157701,-81.300226",1 hour 56 mins
"40.065733,-81.074799","39.249364,-84.429904",3 hour 5 mins
"40.065733,-81.074799","40.28985,-84.191917",3 hour 3 mins
"40.065733,-81.074799","40.900606,-81.160876",1 hour 39 mins
"40.065733,-81.074799","40.106297,-83.715264",2 hour 23 mins
"40.065733,-81.074799","41.161889,-81.859899",2 hour 9 mins
"40.065733,-81.074799","39.582637,-82.94895",2 hour 4 mins
"40.065733,-81.074799","39.527904,-84.769548",3 hour 34 mins
"40.065733,-81.074799","41.350905,-82.067269",2 hour 30 mins
"39.12674,-82.98546","41.374417,-83.119163",3 hour 14 mins
"39.12674,-82.98546","41.157701,-81.300226",3 hour 16 mins
"39.12674,-82.98546","39.249364,-84.429904",1 hour 48 mins
"39.12674,-82.98546","40.28985,-84.191917",2 hour 6 mins
"39.12674,-82.98546","40.900606,-81.160876",3 hour 23 mins
"39.12674,-82.98546","40.106297,-83.715264",1 hour 48 mins
"39.12674,-82.98546","41.161889,-81.859899",2 hour 54 mins
"39.12674,-82.98546","39.582637,-82.94895",36 mins
"39.12674,-82.98546","39.527904,-84.769548",2 hour 24 mins
"39.12674,-82.98546","41.350905,-82.067269",3 hour 5 mins
"38.598567,-82.385511","41.374417,-83.119163",4 hour 24 mins
"38.598567,-82.385511","41.157701,-81.300226",4 hour 7 mins
"38.598567,-82.385511","39.249364,-84.429904",2 hour 58 mins
"38.598567,-82.385511","40.28985,-84.191917",3 hour 16 mins
"38.598567,-82.385511","40.900606,-81.160876",3 hour 50 mins
"38.598567,-82.385511","40.106297,-83.715264",2 hour 58 mins
"38.598567,-82.385511","41.161889,-81.859899",4 hour 4 mins
"38.598567,-82.385511","39.582637,-82.94895",1 hour 46 mins
"38.598567,-82.385511","39.527904,-84.769548",3 hour 36 mins
"38.598567,-82.385511","41.350905,-82.067269",4 hour 15 mins
"41.846175,-80.647299","41.374417,-83.119163",2 hour 17 mins
"41.846175,-80.647299","41.157701,-81.300226",1 hour 23 mins
"41.846175,-80.647299","39.249364,-84.429904",4 hour 27 mins
"41.846175,-80.647299","40.28985,-84.191917",3 hour 57 mins
"41.846175,-80.647299","40.900606,-81.160876",1 hour 31 mins
"41.846175,-80.647299","40.106297,-83.715264",3 hour 36 mins
"41.846175,-80.647299","41.161889,-81.859899",1 hour 31 mins
"41.846175,-80.647299","39.582637,-82.94895",3 hour 31 mins
"41.846175,-80.647299","39.527904,-84.769548",4 hour 53 mins
"41.846175,-80.647299","41.350905,-82.067269",1 hour 28 mins
"40.525904,-82.752848","41.374417,-83.119163",1 hour 31 mins
"40.525904,-82.752848","41.157701,-81.300226",1 hour 35 mins
"40.525904,-82.752848","39.249364,-84.429904",2 hour 10 mins
"40.525904,-82.752848","40.28985,-84.191917",1 hour 53 mins
"40.525904,-82.752848","40.900606,-81.160876",1 hour 41 mins
"40.525904,-82.752848","40.106297,-83.715264",1 hour 20 mins
"40.525904,-82.752848","41.161889,-81.859899",1 hour 13 mins
"40.525904,-82.752848","39.582637,-82.94895",1 hour 15 mins
"40.525904,-82.752848","39.527904,-84.769548",2 hour 36 mins
"40.525904,-82.752848","41.350905,-82.067269",1 hour 24 mins
"39.354339,-82.503012","41.374417,-83.119163",3 hour 17 mins
"39.354339,-82.503012","41.157701,-81.300226",3 hour 21 mins
"39.354339,-82.503012","39.249364,-84.429904",2 hour 11 mins
"39.354339,-82.503012","40.28985,-84.191917",2 hour 29 mins
"39.354339,-82.503012","40.900606,-81.160876",3 hour 3 mins
"39.354339,-82.503012","40.106297,-83.715264",1 hour 59 mins
"39.354339,-82.503012","41.161889,-81.859899",2 hour 58 mins
"39.354339,-82.503012","39.582637,-82.94895",49 mins
"39.354339,-82.503012","39.527904,-84.769548",2 hour 49 mins
"39.354339,-82.503012","41.350905,-82.067269",3 hour 9 mins
"38.650439,-82.802128","41.374417,-83.119163",3 hour 59 mins
"38.650439,-82.802128","41.157701,-81.300226",4 hour 3 mins
"38.650439,-82.802128","39.249364,-84.429904",2 hour 20 mins
"38.650439,-82.802128","40.28985,-84.191917",2 hour 52 mins
"38.650439,-82.802128","40.900606,-81.160876",4 hour 7 mins
"38.650439,-82.802128","40.106297,-83.715264",2 hour 34 mins
"38.650439,-82.802128","41.161889,-81.859899",3 hour 40 mins
"38.650439,-82.802128","39.582637,-82.94895",1 hour 22 mins
"38.650439,-82.802128","39.527904,-84.769548",2 hour 56 mins
"38.650439,-82.802128","41.350905,-82.067269",3 hour 51 mins
"40.395881,-81.406883","41.374417,-83.119163",2 hour 28 mins
"40.395881,-81.406883","41.157701,-81.300226",1 hour 10 mins
"40.395881,-81.406883","39.249364,-84.429904",3 hour 12 mins
"40.395881,-81.406883","40.28985,-84.191917",3 hour 4 mins
"40.395881,-81.406883","40.900606,-81.160876",53 mins
"40.395881,-81.406883","40.106297,-83.715264",2 hour 30 mins
"40.395881,-81.406883","41.161889,-81.859899",1 hour 24 mins
"40.395881,-81.406883","39.582637,-82.94895",2 hour 11 mins
"40.395881,-81.406883","39.527904,-84.769548",3 hour 42 mins
"40.395881,-81.406883","41.350905,-82.067269",1 hour 44 mins
"40.756992,-82.588394","41.374417,-83.119163",1 hour 21 mins
"40.756992,-82.588394","41.157701,-81.300226",1 hour 23 mins
"40.756992,-82.588394","39.249364,-84.429904",2 hour 34 mins
"40.756992,-82.588394","40.28985,-84.191917",1 hour 56 mins
"40.756992,-82.588394","40.900606,-81.160876",1 hour 28 mins
"40.756992,-82.588394","40.106297,-83.715264",1 hour 43 mins
"40.756992,-82.588394","41.161889,-81.859899",1 hour 1 mins
"40.756992,-82.588394","39.582637,-82.94895",1 hour 38 mins
"40.756992,-82.588394","39.527904,-84.769548",3 hour 0 mins
"40.756992,-82.588394","41.350905,-82.067269",1 hour 12 mins
"39.972734,-82.832887","41.374417,-83.119163",2 hour 11 mins
"39.972734,-82.832887","41.157701,-81.300226",2 hour 15 mins
"39.972734,-82.832887","39.249364,-84.429904",1 hour 42 mins
"39.972734,-82.832887","40.28985,-84.191917",1 hour 40 mins
"39.972734,-82.832887","40.900606,-81.160876",2 hour 21 mins
"39.972734,-82.832887","40.106297,-83.715264",1 hour 1 mins
"39.972734,-82.832887","41.161889,-81.859899",1 hour 53 mins
"39.972734,-82.832887","39.582637,-82.94895",41 mins
"39.972734,-82.832887","39.527904,-84.769548",2 hour 12 mins
"39.972734,-82.832887","41.350905,-82.067269",2 hour 4 mins
"40.378783,-83.787784","41.374417,-83.119163",1 hour 52 mins
"40.378783,-83.787784","41.157701,-81.300226",2 hour 51 mins
"40.378783,-83.787784","39.249364,-84.429904",1 hour 48 mins
"40.378783,-83.787784","40.28985,-84.191917",39 mins
"40.378783,-83.787784","40.900606,-81.160876",2 hour 57 mins
"40.378783,-83.787784","40.106297,-83.715264",35 mins
"40.378783,-83.787784","41.161889,-81.859899",2 hour 28 mins
"40.378783,-83.787784","39.582637,-82.94895",1 hour 26 mins
"40.378783,-83.787784","39.527904,-84.769548",2 hour 2 mins
"40.378783,-83.787784","41.350905,-82.067269",2 hour 39 mins
"39.356027,-84.207204","41.374417,-83.119163",3 hour 8 mins
"39.356027,-84.207204","41.157701,-81.300226",3 hour 26 mins
"39.356027,-84.207204","39.249364,-84.429904",29 mins
"39.356027,-84.207204","40.28985,-84.191917",1 hour 22 mins
"39.356027,-84.207204","40.900606,-81.160876",3 hour 33 mins
"39.356027,-84.207204","40.106297,-83.715264",1 hour 28 mins
"39.356027,-84.207204","41.161889,-81.859899",3 hour 4 mins
"39.356027,-84.207204","39.582637,-82.94895",1 hour 28 mins
"39.356027,-84.207204","39.527904,-84.769548",1 hour 8 mins
"39.356027,-84.207204","41.350905,-82.067269",3 hour 15 mins
"40.352418,-80.678099","41.374417,-83.119163",3 hour 9 mins
"40.352418,-80.678099","41.157701,-81.300226",1 hour 44 mins
"40.352418,-80.678099","39.249364,-84.429904",3 hour 51 mins
"40.352418,-80.678099","40.28985,-84.191917",3 hour 50 mins
"40.352418,-80.678099","40.900606,-81.160876",1 hour 28 mins
"40.352418,-80.678099","40.106297,-83.715264",3 hour 10 mins
"40.352418,-80.678099","41.161889,-81.859899",2 hour 14 mins
"40.352418,-80.678099","39.582637,-82.94895",2 hour 50 mins
"40.352418,-80.678099","39.527904,-84.769548",4 hour 21 mins
"40.352418,-80.678099","41.350905,-82.067269",2 hour 25 mins
"34.488104,-99.158545","35.709732,-96.871499",2 hour 45 mins
"34.488104,-99.158545","35.448327,-97.425592",2 hour 11 mins
"34.488104,-99.158545","36.387828,-97.945589",3 hour 9 mins
"34.488104,-99.158545","34.789958,-96.652482",2 hour 57 mins
"34.488104,-99.158545","nan,nan",N/A
"34.488104,-99.158545","36.124743,-97.04877",3 hour 6 mins
"34.488104,-99.158545","34.594596,-98.4391",58 mins
"34.488104,-99.158545","34.193489,-97.14535",2 hour 22 mins
"34.488104,-99.158545","34.086606,-96.770055",2 hour 42 mins
"34.488104,-99.158545","35.439666,-95.973589",3 hour 16 mins
"34.488104,-99.158545","35.493761,-97.550882",2 hour 8 mins
"34.488104,-99.158545","36.066521,-95.883454",3 hour 44 mins
"34.488104,-99.158545","35.96492,-95.655778",3 hour 54 mins
"35.63671,-99.18593","35.709732,-96.871499",2 hour 16 mins
"35.63671,-99.18593","35.448327,-97.425592",1 hour 43 mins
"35.63671,-99.18593","36.387828,-97.945589",1 hour 52 mins
"35.63671,-99.18593","34.789958,-96.652482",2 hour 59 mins
"35.63671,-99.18593","nan,nan",N/A
"35.63671,-99.18593","36.124743,-97.04877",2 hour 29 mins
"35.63671,-99.18593","34.594596,-98.4391",1 hour 58 mins
"35.63671,-99.18593","34.193489,-97.14535",3 hour 1 mins
"35.63671,-99.18593","34.086606,-96.770055",3 hour 25 mins
"35.63671,-99.18593","35.439666,-95.973589",2 hour 54 mins
"35.63671,-99.18593","35.493761,-97.550882",1 hour 39 mins
"35.63671,-99.18593","36.066521,-95.883454",3 hour 15 mins
"35.63671,-99.18593","35.96492,-95.655778",3 hour 25 mins
"36.348616,-95.604344","35.709732,-96.871499",1 hour 32 mins
"36.348616,-95.604344","35.448327,-97.425592",2 hour 9 mins
"36.348616,-95.604344","36.387828,-97.945589",2 hour 29 mins
"36.348616,-95.604344","34.789958,-96.652482",2 hour 35 mins
"36.348616,-95.604344","nan,nan",N/A
"36.348616,-95.604344","36.124743,-97.04877",1 hour 44 mins
"36.348616,-95.604344","34.594596,-98.4391",3 hour 27 mins
"36.348616,-95.604344","34.193489,-97.14535",3 hour 30 mins
"36.348616,-95.604344","34.086606,-96.770055",3 hour 28 mins
"36.348616,-95.604344","35.439666,-95.973589",1 hour 30 mins
"36.348616,-95.604344","35.493761,-97.550882",2 hour 11 mins
