origin,destination,distance_in_time
"33.99208,-114.40456","33.471025,-112.222837",2 hour 32 mins
"33.99208,-114.40456","33.319542,-111.688858",3 hour 7 mins
"33.99208,-114.40456","33.67996,-112.276668",2 hour 43 mins
"33.99208,-114.40456","32.192946,-110.842481",4 hour 28 mins
"33.396736,-111.929253","32.426144,-110.939906",1 hour 38 mins
"33.396736,-111.929253","32.668615,-114.493093",2 hour 44 mins
"33.396736,-111.929253","33.510159,-112.267029",30 mins
"33.396736,-111.929253","33.610797,-112.336937",45 mins
"33.396736,-111.929253","33.507627,-111.889899",16 mins
"33.396736,-111.929253","33.564926,-112.169988",32 mins
"33.396736,-111.929253","33.176457,-111.584536",46 mins
"33.396736,-111.929253","33.471025,-112.222837",26 mins
"33.396736,-111.929253","33.319542,-111.688858",27 mins
"33.396736,-111.929253","33.67996,-112.276668",43 mins
"33.396736,-111.929253","32.192946,-110.842481",1 hour 51 mins
"33.302168,-112.122581","32.426144,-110.939906",1 hour 39 mins
"33.302168,-112.122581","32.668615,-114.493093",2 hour 45 mins
"33.302168,-112.122581","33.510159,-112.267029",28 mins
"33.302168,-112.122581","33.610797,-112.336937",44 mins
"33.302168,-112.122581","33.507627,-111.889899",32 mins
"33.302168,-112.122581","33.564926,-112.169988",39 mins
"33.302168,-112.122581","33.176457,-111.584536",51 mins
"33.302168,-112.122581","33.471025,-112.222837",25 mins
"33.302168,-112.122581","33.319542,-111.688858",31 mins
"33.302168,-112.122581","33.67996,-112.276668",46 mins
"33.302168,-112.122581","32.192946,-110.842481",1 hour 52 mins
"35.52758,-92.61183","36.173387,-94.162546",2 hour 40 mins
"35.52758,-92.61183","36.280648,-94.151515",2 hour 46 mins
"35.52758,-92.61183","35.225814,-92.389607",42 mins
"35.52758,-92.61183","33.618399,-91.381728",2 hour 53 mins
"35.52758,-92.61183","35.468764,-94.353577",2 hour 1 mins
"35.52758,-92.61183","35.283626,-93.15294",1 hour 1 mins
"35.52758,-92.61183","36.152825,-94.185376",2 hour 37 mins
"35.52758,-92.61183","33.925368,-93.857193",3 hour 15 mins
"35.52758,-92.61183","35.617969,-91.254602",1 hour 58 mins
"35.52758,-92.61183","36.05646,-94.175122",2 hour 30 mins
