Address,Designation,Store #,Open Date
"4301 Vine St., Hays, Kansas",Walmart Supercenter,664,"October 30, 1984"
"6087 US Highway 6, Portage, Indiana",Walmart Supercenter,2544,"October 29, 1997"
"2214 Fayetteville Rd., Van Buren, Arkansas",Walmart Supercenter,16,"April 1, 1969"
"168 Obed Plaza Ste. 108, Crossville, Tennessee",Walmart Supercenter,687,"July 4, 1981"
"2109 W Main St., Russellville, Arkansas",Neighborhood Market,4128,"August 13, 2014"
"117 Marketplace Drive, Hampton, Virginia",Neighborhood Market,3156,"December 10, 2014"
"10000 SE 82nd Ave., Happy Valley, Oregon",Walmart,5440,"April 13, 2005"
"585 N State St., Lindon, Utah",Walmart Supercenter,5270,"August 25, 2004"
"2400 Michigan St., Sidney, Ohio",Walmart Supercenter,1331,"April 3, 1989"
"6405 Dobbin Rd., Columbia, Maryland",Walmart,5228,"January 28, 2004"
"2050 N Highway 78, Wylie, Texas",Walmart Supercenter,5210,"August 25, 2004"
"4900 Jennifer Terrace, Springdale, Arkansas",Neighborhood Market,4375,"May 6, 2015"
"3137 S Seneca St., Wichita, Kansas",Neighborhood Market,5991,"November 2, 2011"
"5710 McFarland Blvd., Northport, Alabama",Walmart Supercenter,2306,"May 31, 1995"
"950 E Greenville Pike, Winchester, Indiana",Walmart Supercenter,1480,"October 1, 1991"
"2908 US Highway 70 W, Goldsboro, North Carolina",Walmart Supercenter,4564,"November 7, 2007"
"1419 N Country Club Rd., Ada, Oklahoma",Walmart Supercenter,231,"September 19, 1978"
"137 W North Ave, Northlake, Illinois",Walmart,1933,"July 27, 1993"
"990 Missouri Ave. N, Largo, Florida",Walmart Supercenter,1712,"February 4, 1992"
"625 School St., Putnam, Connecticut",Walmart Supercenter,1980,"September 19, 1995"
"839 US Highway 130, East Windsor, New Jersey",Walmart,3266,"May 4, 2005"
"2750 Cook Rd., West Branch, Michigan",Walmart Supercenter,5159,"January 21, 2004"
"1501 N Interstate 27, Plainview, Texas",Walmart Supercenter,927,"August 5, 1986"
"1000 18th Ave. NW, Austin, Minnesota",Walmart Supercenter,4257,"July 16, 2008"
"1135 Berkshire Blvd., Wyomissing, Pennsylvania",Walmart,1670,"September 11, 1991"
"4313 Corunna Rd., Flint, Michigan",Walmart Supercenter,1928,"March 31, 1993"
"700 6th St. N, Socorro, New Mexico",Walmart Supercenter,5492,"January 26, 2005"
"10355 Trinity Pkwy., Stockton, California",Walmart Supercenter,3352,"July 18, 2012"
"4145 Dowlen Rd., Beaumont, Texas",Walmart Supercenter,651,"June 29, 1984"
"100 E Wallace Kneeland Blvd., Shelton, Washington",Walmart Supercenter,2121,"October 18, 1994"
"5110 College Ave., Snyder, Texas",Walmart Supercenter,1272,"April 3, 1989"
"2451 S Springfield Ave., Bolivar, Missouri",Walmart Supercenter,46,"August 1, 1972"
"3221 N Monroe St., Tallahassee, Florida",Walmart Supercenter,4427,"March 18, 2009"
"951 N Resler Dr., El Paso, Texas",Neighborhood Market,4366,"February 13, 2008"
"250 Highlands Square Dr., Hendersonville, North Carolina",Walmart Supercenter,1242,"November 1, 1988"
"1215 E 16th Ave., Cordele, Georgia",Walmart Supercenter,1006,"October 28, 1987"
"10 E 1300 S, Richfield, Utah",Walmart Supercenter,5168,"January 21, 2004"
"3016 Canton Street, Hopkinsville, Kentucky",Neighborhood Market,5059,"November 16, 2016"
"240 Wal Mart Way, Maysville, Kentucky",Walmart Supercenter,1569,"January 30, 1991"
"640 SE 4th St., Moore, Oklahoma",Neighborhood Market,2393,"August 2, 2000"
"6626 FM 1960 Rd. E, Humble, Texas",Walmart Supercenter,744,"October 16, 1984"
"10240 Hudson Rd., Woodbury, Minnesota",Walmart Supercenter,2643,"September 14, 2005"
"2424 W Jefferson St., Joliet, Illinois",Walmart Supercenter,1256,"April 3, 1989"
"3351 S Ferdon Blvd., Crestview, Florida",Walmart Supercenter,944,"June 17, 1986"
"5137 W Olive Ave., Glendale, Arizona",Neighborhood Market,3844,"January 19, 2011"
"8101 S John Young Pkwy., Orlando, Florida",Walmart Supercenter,908,"July 15, 1986"
"6 Conley Rd., La Junta, Colorado",Walmart Supercenter,1384,"January 31, 1990"
"510 Avenue C, Denison, Iowa",Walmart Supercenter,1732,"November 5, 1991"
"400 Tucker Rd., Tehachapi, California",Walmart Supercenter,4317,"August 7, 2019"
"5315 Cortez Rd. W, Bradenton, Florida",Walmart Supercenter,1004,"March 31, 1987"
"2200 S McKenzie St., Foley, Alabama",Walmart Supercenter,904,"January 21, 1986"
"6225 Coliseum Blvd., Alexandria, Louisiana",Walmart Supercenter,4295,"May 21, 2008"
"111 N Perkins Rd., Stillwater, Oklahoma",Walmart Supercenter,137,"October 1, 1976"
"2610 N Prospect Ave., Champaign, Illinois",Walmart Supercenter,1734,"December 31, 1991"
"1630 Plant Ave, Waycross, Georgia",Neighborhood Market,4527,"October 28, 2015"
"7245 US 31 S, Indianapolis, Indiana",Walmart Supercenter,1459,"May 30, 1990"
"4240 Yellowstone Ave., Chubbuck, Idaho",Walmart Supercenter,1995,"August 31, 1993"
"131 Handley Boulevard, Byram, Mississippi",Walmart Supercenter,6469,"January 27, 2016"
"2940 Anvil Block Rd., Ellenwood, Georgia",Walmart Supercenter,3609,"May 7, 2008"
"4965 Highway 90, Milton, Florida",Walmart Supercenter,990,"September 16, 1986"
"5955 Zebulon Rd., Macon, Georgia",Walmart Supercenter,2890,"March 17, 2004"
"200 Frontier St., Lexington, Nebraska",Walmart Supercenter,637,"February 5, 1985"
"490 E Silverado Ranch Blvd., Las Vegas, Nevada",Neighborhood Market,5269,"January 26, 2005"
"1300 Dallas Cherryville Rd., Dallas, North Carolina",Neighborhood Market,7004,"November 5, 2014"
"10096 Kenai Spur Hwy, Kenai, Alaska",Walmart Supercenter,4474,"March 31, 2010"
"1325 Main Ave., Taylor, Pennsylvania",Walmart Supercenter,4276,"November 10, 2010"
"5680 Hammonds Mill Rd., Martinsburg, West Virginia",Walmart Supercenter,4423,"March 5, 2008"
"3811 Clyde Morris Blvd., Port Orange, Florida",Neighborhood Market,3629,"August 3, 2016"
"7405 Debarr Road, Anchorage, Alaska",Walmart Supercenter,4359,"September 25, 2013"
"7855 SW Hwy. 200, Ocala, Florida",Neighborhood Market,4434,"August 3, 2016"
"255 Lincoln Blvd., Lincoln, California",Neighborhood Market,5979,"September 19, 2012"
"8115 North Loop Dr., El Paso, Texas",Neighborhood Market,4415,"April 11, 2007"
"5875 E Franklin Rd., Nampa, Idaho",Walmart Supercenter,3739,"October 18, 2006"
"1221 E Main St., Marshall, Minnesota",Walmart Supercenter,1722,"November 5, 1991"
"200 Columbus Corners Dr., Whiteville, North Carolina",Walmart Supercenter,1268,"February 2, 1989"
"819 N Oak St., Pearsall, Texas",Walmart,478,"March 6, 1984"
"1905 N 14th Ave., Dodge City, Kansas",Walmart Supercenter,372,"March 10, 1981"
"6300 Oakmont Blvd., Fort Worth, Texas",Walmart Supercenter,590,"August 31, 1984"
"1400 Skyline Blvd., Bismarck, North Dakota",Walmart Supercenter,3648,"April 19, 2006"
"5991 S Goldenrod Rd., Orlando, Florida",Walmart Supercenter,3782,"March 7, 2008"
"6850 Gulfport Blvd. S, Pasadena, Florida",Neighborhood Market,3161,"April 9, 2014"
"17100 State Route 507 SE, Yelm, Washington",Walmart Supercenter,3705,"July 18, 2007"
"673 Cedar Road, Chesapeake, Virginia",Neighborhood Market,3330,"August 13, 2014"
"1120 S Anaheim Blvd., Anaheim, California",Neighborhood Market,5640,"September 19, 2012"
