zip,ruca,city,state_name,population,county,median_household_income
53104,Suburban,Bristol,Wisconsin,"5,781",Kenosha,"$95,875"
53105,Urban,Burlington,Wisconsin,"29,504",Racine,"$81,306"
53108,Urban,Caledonia,Wisconsin,"2,822",Racine,"$85,450"
53110,Urban,Cudahy,Wisconsin,"18,197",Milwaukee,"$63,419"
53114,Urban,Darien,Wisconsin,"2,405",Walworth,"$66,458"
53115,Urban,Delavan,Wisconsin,"16,071",Walworth,"$65,583"
53118,Urban,Dousman,Wisconsin,"7,383",Waukesha,"$93,728"
53119,Suburban,Eagle,Wisconsin,"5,741",Waukesha,"$106,250"
53120,Suburban,East Troy,Wisconsin,"10,645",Walworth,"$83,561"
53121,Urban,Elkhorn,Wisconsin,"18,813",Walworth,"$76,160"
53122,Urban,Elm Grove,Wisconsin,"6,456",Waukesha,"$115,459"
53125,Suburban,Fontana,Wisconsin,"2,826",Walworth,"$88,906"
53126,Urban,Franksville,Wisconsin,"7,233",Racine,"$100,968"
53127,Urban,Genesee Depot,Wisconsin,108,Waukesha,"$132,950"
53128,Suburban,Genoa City,Wisconsin,"9,299",Walworth,"$73,387"
53129,Urban,Greendale,Wisconsin,"14,678",Milwaukee,"$79,119"
53130,Urban,Hales Corners,Wisconsin,"7,715",Milwaukee,"$84,315"
53132,Urban,Franklin,Wisconsin,"36,182",Milwaukee,"$92,332"
53137,Suburban,Helenville,Wisconsin,"1,581",Jefferson,"$103,239"
53139,Suburban,Kansasville,Wisconsin,"2,180",Racine,"$91,944"
53140,Suburban,Kenosha,Wisconsin,"30,261",Kenosha,"$51,045"
53142,Suburban,Kenosha,Wisconsin,"33,350",Kenosha,"$77,324"
53143,Suburban,Kenosha,Wisconsin,"22,358",Kenosha,"$56,330"
53144,Suburban,Kenosha,Wisconsin,"26,674",Kenosha,"$63,492"
53146,Urban,New Berlin,Wisconsin,"7,804",Waukesha,"$83,092"
53147,Urban,Lake Geneva,Wisconsin,"17,624",Walworth,"$73,337"
53149,Suburban,Mukwonago,Wisconsin,"19,318",Waukesha,"$107,278"
